serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
ZJV0KNRF,0,0,,,,0,0,0,1,0.0017491339756851825,,2018-05-12,
ZJV0KNST,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-12-05,
ZJV0KNT5,0,0,,,,0,0,0,1,0.0016723992726192067,,2018-05-12,
ZJV0KNVD,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-05-16,
ZJV0KNWS,0,0,,,,0,0,0,1,0.0014340525237795116,,2018-05-16,
ZJV0KNWW,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-04-13,
ZJV0KP22,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-05-16,
ZJV0L9JT,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-04-13,
ZJV0M0N3,0,0,,,,0,0,0,1,0.00127644803977076,,2018-12-19,
ZJV0M2BQ,0,0,,,,0,0,0,1,0.0014238509549228927,,2019-10-17,
ZJV0MB18,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-21,
ZJV0MDPM,1,1,2023-11-14,2024-02-28,106.0,1,0,0,0,0.5555822346759766,0.10344234489214219,2020-06-22,1240.0
ZJV0MKFW,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-07-28,
ZJV0MPMY,0,0,,,,0,0,0,1,0.0011587173885299128,,2019-07-07,
ZJV0MVY6,0,0,,,,0,0,0,1,0.0010738503849296067,,2018-07-28,
ZJV0N2BQ,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-21,
ZJV0NCQQ,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-12,
ZJV0NGVL,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-10-29,
ZJV0NJGC,0,0,,,,0,0,0,1,0.025940138244930005,,2018-07-12,
ZJV0NLXJ,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-07-28,
ZJV0NPCQ,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-21,
ZJV0NSWH,0,0,,,,0,0,0,1,0.0011587173885299128,,2019-11-16,
ZJV0NWHK,0,0,,,,0,0,0,1,0.0009803872418974431,,2018-08-29,
ZJV0NWWA,0,0,,,,0,0,0,1,0.0010738503849296067,,2018-07-28,
ZJV0NXMC,1,0,,2020-02-20,,0,0,1,0,0.03320828396651253,,2020-02-11,
ZJV0NZ8P,0,0,,,,0,0,0,1,0.0010738503849296067,,2018-07-28,
ZJV0P276,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0P4EN,0,0,,,,0,0,0,1,0.0013534746609140146,,2018-10-29,
ZJV0P6MJ,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-07-28,
ZJV0PBTC,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0PEX0,0,0,,,,0,0,0,1,0.0011587173885299128,,2019-09-21,
ZJV0PFFF,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-21,
ZJV0PJEM,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0PMYA,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-12-08,
ZJV0PPFZ,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0PR46,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-12-05,
ZJV0PZQ0,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-12-05,
ZJV0PZQH,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-12-05,
ZJV0QD9V,0,0,,,,0,0,0,1,0.00127644803977076,,2018-12-05,
ZJV0QJ9M,0,0,,,,0,0,0,1,0.0013534746609140146,,2018-10-29,
ZJV0QMFL,0,0,,,,0,0,0,1,0.0013534746609140146,,2018-10-29,
ZJV0QMVL,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0QNMW,1,1,2019-11-16,2019-11-16,0.0,1,0,0,0,0.1260279123613539,0.1260279123613539,2018-08-29,444.0
ZJV0QX8F,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-10-29,
ZJV0QZRS,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-12-08,
ZJV0R23K,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-21,
ZJV0R2LF,0,0,,,,0,0,0,1,0.0013534746609140146,,2018-10-29,
ZJV0R5ZW,0,0,,,,0,0,0,1,0.0011587173885299128,,2019-07-25,
ZJV0R623,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0R822,0,0,,,,0,0,0,1,0.00127644803977076,,2018-12-05,
ZJV0RBPV,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-07-28,
ZJV0RCWW,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-07-28,
ZJV0RDW2,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0RGXS,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-10-29,
ZJV0RKWX,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0RPQ4,0,0,,,,0,0,0,1,0.0013534746609140146,,2018-10-29,
ZJV0RY3Y,0,0,,,,0,0,0,1,0.0010738503849296067,,2018-07-28,
ZJV0RYMQ,1,1,2023-02-10,2023-02-13,3.0,1,0,0,0,0.15615431108165825,0.15615431108165825,2019-10-04,1225.0
ZJV0S850,0,1,2025-01-15,,,0,1,0,0,0.6163124526185598,0.1623555791319446,2019-07-02,2024.0
ZJV0S85F,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0SB6W,0,0,,,,0,0,0,1,0.0009803872418974431,,2018-08-29,
ZJV0SN83,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-21,
ZJV0SWZY,0,0,,,,0,0,0,1,0.0011587173885299128,,2018-12-21,
ZJV0SXZ0,0,0,,,,0,0,0,1,0.0011587173885299128,,2019-07-01,
ZJV0T0QB,0,0,,,,0,0,0,1,0.00127644803977076,,2018-12-05,
ZJV0T4XL,0,0,,,,0,0,0,1,0.0011194290368212096,,2018-08-29,
ZJV0T4YM,0,0,,,,0,0,0,1,0.0014238509549228927,,2018-07-21,
ZJV0T4ZD,0,0,,,,0,0,0,1,0.0013534746609140146,,2018-12-05,
