serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed
2AGHMUYY,0,0,,,,0,0,0,1,0.000723645533577128,,2019-06-01,
2AGHMW5Y,0,0,,,,0,0,0,1,0.01961421010047768,,2019-05-27,
2AGHMXGY,1,0,,2023-05-14,,0,0,1,0,0.013601479143619305,,2019-05-27,
2AGHMYTY,0,0,,,,0,0,0,1,0.02629471831247194,,2019-05-27,
2AGHMZMY,0,0,,,,0,0,0,1,0.08333814698256571,,2019-05-27,
2AGHN0TY,1,1,2020-09-15,2020-10-22,37.0,1,0,0,0,1.0,0.9999890359664909,2019-05-27,477.0
2AGHN0WY,0,0,,,,0,0,0,1,0.000723645533577128,,2019-05-27,
2AGHN16Y,0,0,,,,0,0,0,1,0.00070855183124194,,2019-05-27,
2AGHN2AY,0,0,,,,0,0,0,1,0.0006955173013130974,,2019-05-27,
2AGHN3XY,0,0,,,,0,0,0,1,0.0006955173013130974,,2019-05-27,
2AGHPDKY,0,0,,,,0,0,0,1,0.0007029480152224588,,2019-05-27,
2AGHSJ4Y,0,0,,,,0,0,0,1,0.0006882857216211939,,2019-05-27,
2AGHSS9Y,0,0,,,,0,0,0,1,0.0007305429701563391,,2019-05-27,
2AGHTBYY,1,1,2024-08-31,2025-01-25,147.0,1,0,0,0,1.0,0.9999321928736283,2019-05-27,1923.0
2AGHTGEY,1,0,,2023-03-14,,0,0,1,0,0.3580231663416016,,2019-05-27,
2AGHTKBY,0,0,,,,0,0,0,1,0.011029527490302749,,2019-05-27,
2AGLY65Y,1,0,,2023-11-20,,0,0,1,0,0.03129512066082407,,2019-08-13,
2AGM231Y,0,0,,,,0,0,0,1,0.0007909511676434602,,2019-05-04,
2AGM23NY,0,0,,,,0,0,0,1,0.0007909511676434602,,2019-05-04,
2AGM5UVY,0,0,,,,0,0,0,1,0.5620168570146441,,2019-05-16,
2AGM5V7Y,1,0,,2025-12-05,,0,0,1,0,0.5493807335199914,,2019-05-16,
2AGM5VBY,0,0,,,,0,0,0,1,0.5620168570146441,,2019-05-16,
2AGM5VHY,1,0,,2025-01-18,,0,0,1,0,0.03584387852136097,,2019-08-13,
2AGM5W9Y,1,0,,2025-01-16,,0,0,1,0,0.033071289494686254,,2019-05-16,
2AGM5YEY,0,0,,,,0,0,0,1,0.008529257046199128,,2019-05-04,
2AGM8EMY,1,0,,2024-10-29,,0,0,1,0,0.06094595374640796,,2019-05-16,
2AGM8EUY,0,0,,,,0,0,0,1,0.0007029480152224588,,2019-05-27,
2AGM8J2Y,0,0,,,,0,0,0,1,0.0007573054614285788,,2019-05-16,
2AGM8JAY,0,0,,,,0,0,0,1,0.0007029480152224588,,2019-05-16,
2AGM8LNY,0,0,,,,0,0,0,1,0.8782703796461501,,2019-05-04,
2AGM8RJY,0,0,,,,0,0,0,1,0.031497723895431574,,2019-08-13,
2AGM8RTY,0,1,2025-04-09,,,0,1,0,0,0.9994423689279132,0.9994423689279132,2019-05-16,2155.0
2AGM8UNY,1,1,2025-10-30,2026-03-12,133.0,1,0,0,0,0.999999999999966,0.999999999999966,2019-08-13,2270.0
2AGM8V7Y,0,0,,,,0,0,0,1,0.0007305429701563391,,2019-05-16,
2AGM9MXY,1,0,,2025-09-21,,0,0,1,0,0.014383632277967883,,2019-05-04,
2AGM9PJY,0,0,,,,0,0,0,1,0.00902612762833216,,2019-05-04,
2AGM9RGY,1,0,,2022-12-23,,0,0,1,0,0.000635987331402998,,2019-05-16,
2AGM9S6Y,0,0,,,,0,0,0,1,0.0065553295619674365,,2019-05-16,
2AGM9SDY,0,0,,,,0,0,0,1,0.000723645533577128,,2019-05-04,
2AGM9U1Y,0,0,,,,0,0,0,1,0.0006955173013130974,,2019-05-16,
2AGMDJKY,0,0,,,,0,0,0,1,0.0007909511676434602,,2019-05-04,
