serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,is_hit,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score
ZCH06F1A,1,0,,2019-12-29,,0,0,1,0,0.8768470883369446,
ZCH06F2V,0,0,,,,0,0,0,1,0.4409870505332947,
ZCH06F3E,0,0,,,,0,0,0,1,0.9155529141426086,
ZCH06F3J,0,0,,,,0,0,0,1,0.6214023232460022,
ZCH06F42,0,0,,,,0,0,0,1,0.5819295048713684,
ZCH06F55,0,0,,,,0,0,0,1,0.820601761341095,
ZCH06F5Z,0,0,,,,0,0,0,1,0.5470098853111267,
ZCH06F6M,0,0,,,,0,0,0,1,0.5896538496017456,
ZCH06F7G,0,0,,,,0,0,0,1,0.6435595750808716,
ZCH06F86,0,0,,,,0,0,0,1,0.5961780548095703,
ZCH06FAE,0,0,,,,0,0,0,1,0.5876232981681824,
ZCH06FAP,0,0,,,,0,0,0,1,0.6472907662391663,
ZCH06FB5,0,0,,,,0,0,0,1,0.5662118792533875,
ZCH06FBG,1,1,2019-05-22,2019-05-23,1.0,1,0,0,0,0.980463981628418,0.9669078588485718
ZCH06FBM,0,0,,,,0,0,0,1,0.580104649066925,
ZCH06FGM,0,0,,,,0,0,0,1,0.5915221571922302,
ZCH06FKM,0,0,,,,0,0,0,1,0.6950622797012329,
ZCH06FLP,0,0,,,,0,0,0,1,0.6267939805984497,
ZCH06FLZ,0,0,,,,0,0,0,1,0.7076054215431213,
ZCH06FP3,0,0,,,,0,0,0,1,0.9210511445999146,
ZCH06FPQ,0,0,,,,0,0,0,1,0.4807671904563904,
ZCH06FR7,0,0,,,,0,0,0,1,0.6745869517326355,
ZCH06FT6,0,0,,,,0,0,0,1,0.5165343880653381,
ZCH06FTY,0,0,,,,0,0,0,1,0.9049715995788574,
ZCH06FXG,0,0,,,,0,0,0,1,0.5230108499526978,
ZCH06FYP,0,0,,,,0,0,0,1,0.6556960344314575,
ZCH06FZH,0,0,,,,0,0,0,1,0.5599634647369385,
ZCH06G03,0,1,2021-03-17,,,0,1,0,0,0.9653550982475281,0.9653550982475281
ZCH06GBH,0,0,,,,0,0,0,1,0.828940212726593,
ZCH06GCH,0,0,,,,0,0,0,1,0.8181687593460083,
ZCH06GCX,0,0,,,,0,0,0,1,0.49021607637405396,
ZCH06GDP,0,0,,,,0,0,0,1,0.7257892489433289,
ZCH06GKC,0,0,,,,0,0,0,1,0.6333438158035278,
ZCH06GMT,0,0,,,,0,0,0,1,0.5418339371681213,
