dataset,model,seed,burden,n_alarmed,n_fail,ear,within_5,recall_5,within_7,recall_7,within_10,recall_10,within_15,recall_15,within_30,recall_30,within_60,recall_60,within_90,recall_90,within_180,recall_180,within_365,recall_365
HGST,LGBM,58,0.01,16,162,0.009657594381035996,0.125,0.012345679012345678,0.1875,0.018518518518518517,0.3125,0.030864197530864196,0.375,0.037037037037037035,0.4375,0.043209876543209874,0.4375,0.043209876543209874,0.5625,0.05555555555555555,0.6875,0.06790123456790123,0.875,0.08641975308641975
HGST,LGBM,58,0.05,52,162,0.043898156277436345,0.07692307692307693,0.024691358024691357,0.15384615384615385,0.04938271604938271,0.25,0.08024691358024691,0.2692307692307692,0.08641975308641975,0.3269230769230769,0.10493827160493827,0.46153846153846156,0.14814814814814814,0.5384615384615384,0.1728395061728395,0.6923076923076923,0.2222222222222222,0.8846153846153846,0.2839506172839506
HGST,LGBM,59,0.01,15,162,0.009657594381035996,0.13333333333333333,0.012345679012345678,0.13333333333333333,0.012345679012345678,0.13333333333333333,0.012345679012345678,0.3333333333333333,0.030864197530864196,0.4,0.037037037037037035,0.4666666666666667,0.043209876543209874,0.5333333333333333,0.04938271604938271,0.8666666666666667,0.08024691358024691,0.9333333333333333,0.08641975308641975
HGST,LGBM,59,0.05,47,162,0.048287971905179985,0.02127659574468085,0.006172839506172839,0.0425531914893617,0.012345679012345678,0.0425531914893617,0.012345679012345678,0.1276595744680851,0.037037037037037035,0.19148936170212766,0.05555555555555555,0.3617021276595745,0.10493827160493827,0.425531914893617,0.12345679012345678,0.7021276595744681,0.2037037037037037,0.8085106382978723,0.2345679012345679
HGST,LGBM,60,0.01,15,162,0.009657594381035996,0.06666666666666667,0.006172839506172839,0.13333333333333333,0.012345679012345678,0.2,0.018518518518518517,0.3333333333333333,0.030864197530864196,0.4,0.037037037037037035,0.5333333333333333,0.04938271604938271,0.6666666666666666,0.06172839506172839,0.9333333333333333,0.08641975308641975,0.9333333333333333,0.08641975308641975
HGST,LGBM,60,0.05,53,162,0.04916593503072871,0.07547169811320754,0.024691358024691357,0.1320754716981132,0.043209876543209874,0.22641509433962265,0.07407407407407407,0.2830188679245283,0.09259259259259259,0.41509433962264153,0.13580246913580246,0.5283018867924528,0.1728395061728395,0.5849056603773585,0.19135802469135801,0.7735849056603774,0.25308641975308643,0.8490566037735849,0.2777777777777778
HGST,LGBM,61,0.01,17,162,0.009657594381035996,0.23529411764705882,0.024691358024691357,0.23529411764705882,0.024691358024691357,0.29411764705882354,0.030864197530864196,0.4117647058823529,0.043209876543209874,0.47058823529411764,0.04938271604938271,0.5294117647058824,0.05555555555555555,0.5882352941176471,0.06172839506172839,0.8823529411764706,0.09259259259259259,1.0,0.10493827160493827
HGST,LGBM,61,0.05,49,162,0.04916593503072871,0.12244897959183673,0.037037037037037035,0.16326530612244897,0.04938271604938271,0.1836734693877551,0.05555555555555555,0.24489795918367346,0.07407407407407407,0.3877551020408163,0.11728395061728394,0.5306122448979592,0.16049382716049382,0.5918367346938775,0.17901234567901234,0.7142857142857143,0.21604938271604937,0.9183673469387755,0.2777777777777778
HGST,LGBM,62,0.01,10,162,0.007901668129938543,0.1,0.006172839506172839,0.2,0.012345679012345678,0.2,0.012345679012345678,0.5,0.030864197530864196,0.6,0.037037037037037035,0.8,0.04938271604938271,0.8,0.04938271604938271,0.8,0.04938271604938271,0.9,0.05555555555555555
HGST,LGBM,62,0.05,30,162,0.030728709394205442,0.06666666666666667,0.012345679012345678,0.16666666666666666,0.030864197530864196,0.23333333333333334,0.043209876543209874,0.3333333333333333,0.06172839506172839,0.4,0.07407407407407407,0.5666666666666667,0.10493827160493827,0.6333333333333333,0.11728395061728394,0.7,0.12962962962962962,0.9,0.16666666666666666
