dataset,model,window,peak,tau_peak,rec_at_min_tau,drop,rel_drop,early_at_min_tau
Seagate,GRU,730,0.3377777777777778,0.07976339067929272,0.022222222222222223,0.3155555555555556,0.9342105263157895,0.9777777777777777
Seagate,GRU,-1,0.3333333333333333,0.07976339067929272,0.022222222222222223,0.3111111111111111,0.9333333333333333,0.9777777777777777
Toshiba,LGBM,30,1.0,0.0001,1.0,0.0,0.0,0.0
Toshiba,LGBM,45,0.24401913875598086,0.001042404007021556,0.009569377990430622,0.23444976076555024,0.9607843137254902,0.9904306220095693
Toshiba,LGBM,60,0.23444976076555024,0.001042404007021556,0.009569377990430622,0.22488038277511962,0.9591836734693878,0.9904306220095693
Toshiba,LGBM,90,0.23444976076555024,0.001042404007021556,0.009569377990430622,0.22488038277511962,0.9591836734693878,0.9904306220095693
Toshiba,LGBM,180,0.22009569377990432,0.001042404007021556,0.009569377990430622,0.2105263157894737,0.9565217391304348,0.9904306220095693
Toshiba,LGBM,365,0.21052631578947367,0.001042404007021556,0.009569377990430622,0.20095693779904306,0.9545454545454546,0.9904306220095693
Toshiba,LGBM,730,0.21052631578947367,0.001042404007021556,0.009569377990430622,0.20095693779904306,0.9545454545454546,0.9904306220095693
Toshiba,LGBM,-1,0.21052631578947367,0.001042404007021556,0.009569377990430622,0.20095693779904306,0.9545454545454546,0.9904306220095693
Toshiba,XGB,30,1.0,0.0001,1.0,0.0,0.0,0.0
Toshiba,XGB,45,0.2679425837320574,0.0029850382451187293,0.009569377990430622,0.2583732057416268,0.9642857142857143,0.9904306220095693
Toshiba,XGB,60,0.2583732057416268,0.0029850382451187293,0.009569377990430622,0.2488038277511962,0.962962962962963,0.9904306220095693
Toshiba,XGB,90,0.2583732057416268,0.0029850382451187293,0.009569377990430622,0.2488038277511962,0.962962962962963,0.9904306220095693
Toshiba,XGB,180,0.24880382775119617,0.0029850382451187293,0.009569377990430622,0.23923444976076555,0.9615384615384616,0.9904306220095693
Toshiba,XGB,365,0.24401913875598086,0.0029850382451187293,0.009569377990430622,0.23444976076555024,0.9607843137254902,0.9904306220095693
Toshiba,XGB,730,0.23923444976076555,0.0029850382451187293,0.009569377990430622,0.22966507177033493,0.9600000000000001,0.9904306220095693
Toshiba,XGB,-1,0.23923444976076555,0.0029850382451187293,0.009569377990430622,0.22966507177033493,0.9600000000000001,0.9904306220095693
Toshiba,LSTM,30,0.9952153110047847,0.0001,0.9952153110047847,0.0,0.0,0.0
Toshiba,LSTM,45,0.23444976076555024,0.005695226779712819,0.009569377990430622,0.22488038277511962,0.9591836734693878,0.9856459330143541
Toshiba,LSTM,60,0.22966507177033493,0.006131618844795769,0.009569377990430622,0.22009569377990432,0.9583333333333334,0.9856459330143541
Toshiba,LSTM,90,0.22488038277511962,0.011916598430985588,0.009569377990430622,0.215311004784689,0.9574468085106383,0.9856459330143541
Toshiba,LSTM,180,0.21052631578947367,0.01755856331414469,0.009569377990430622,0.20095693779904306,0.9545454545454546,0.9856459330143541
Toshiba,LSTM,365,0.20574162679425836,0.01755856331414469,0.009569377990430622,0.19617224880382775,0.9534883720930233,0.9904306220095693
Toshiba,LSTM,730,0.20095693779904306,0.005695226779712819,0.009569377990430622,0.19138755980861244,0.9523809523809524,0.9904306220095693
Toshiba,LSTM,-1,0.20095693779904306,0.005695226779712819,0.009569377990430622,0.19138755980861244,0.9523809523809524,0.9904306220095693
Toshiba,GRU,30,1.0,0.0001,1.0,0.0,0.0,0.0
Toshiba,GRU,45,0.2583732057416268,0.03742366290721981,0.014354066985645933,0.24401913875598089,0.9444444444444445,0.9856459330143541
