dataset,model,seed,window,tau,alarmed,burden,n_cens
HGST,XGB,57,365,0.32050415873527527,1,0.0010235414534288639,977
HGST,XGB,57,730,0.32050415873527527,3,0.0030706243602865915,977
HGST,XGB,57,1095,0.32050415873527527,3,0.0030706243602865915,977
HGST,XGB,57,1460,0.32050415873527527,4,0.0040941658137154556,977
HGST,XGB,57,-1,0.32050415873527527,24,0.02456499488229273,977
HGST,XGB,58,180,0.26273688673973083,0,0.0,977
HGST,XGB,58,365,0.26273688673973083,2,0.0020470829068577278,977
HGST,XGB,58,730,0.26273688673973083,4,0.0040941658137154556,977
HGST,XGB,58,1095,0.26273688673973083,4,0.0040941658137154556,977
HGST,XGB,58,1460,0.26273688673973083,5,0.00511770726714432,977
HGST,XGB,58,-1,0.26273688673973083,24,0.02456499488229273,977
HGST,XGB,59,180,0.4422518312931061,0,0.0,977
HGST,XGB,59,365,0.4422518312931061,0,0.0,977
HGST,XGB,59,730,0.4422518312931061,0,0.0,977
HGST,XGB,59,1095,0.4422518312931061,0,0.0,977
HGST,XGB,59,1460,0.4422518312931061,1,0.0010235414534288639,977
HGST,XGB,59,-1,0.4422518312931061,27,0.027635619242579325,977
HGST,XGB,60,180,0.34376242756843567,1,0.0010235414534288639,977
HGST,XGB,60,365,0.34376242756843567,1,0.0010235414534288639,977
HGST,XGB,60,730,0.34376242756843567,1,0.0010235414534288639,977
HGST,XGB,60,1095,0.34376242756843567,1,0.0010235414534288639,977
HGST,XGB,60,1460,0.34376242756843567,2,0.0020470829068577278,977
HGST,XGB,60,-1,0.34376242756843567,24,0.02456499488229273,977
HGST,XGB,61,180,0.2380226105451584,0,0.0,977
HGST,XGB,61,365,0.2380226105451584,1,0.0010235414534288639,977
HGST,XGB,61,730,0.2380226105451584,1,0.0010235414534288639,977
HGST,XGB,61,1095,0.2380226105451584,1,0.0010235414534288639,977
HGST,XGB,61,1460,0.2380226105451584,3,0.0030706243602865915,977
HGST,XGB,61,-1,0.2380226105451584,24,0.02456499488229273,977
HGST,XGB,62,180,0.2892531454563141,0,0.0,977
HGST,XGB,62,365,0.2892531454563141,1,0.0010235414534288639,977
HGST,XGB,62,730,0.2892531454563141,3,0.0030706243602865915,977
HGST,XGB,62,1095,0.2892531454563141,3,0.0030706243602865915,977
HGST,XGB,62,1460,0.2892531454563141,4,0.0040941658137154556,977
HGST,XGB,62,-1,0.2892531454563141,24,0.02456499488229273,977
HGST,XGB,63,180,0.2508935332298279,0,0.0,977
HGST,XGB,63,365,0.2508935332298279,1,0.0010235414534288639,977
HGST,XGB,63,730,0.2508935332298279,1,0.0010235414534288639,977
HGST,XGB,63,1095,0.2508935332298279,1,0.0010235414534288639,977
HGST,XGB,63,1460,0.2508935332298279,3,0.0030706243602865915,977
HGST,XGB,63,-1,0.2508935332298279,24,0.02456499488229273,977
HGST,XGB,64,180,0.2413291484117508,0,0.0,977
HGST,XGB,64,365,0.2413291484117508,1,0.0010235414534288639,977
HGST,XGB,64,730,0.2413291484117508,1,0.0010235414534288639,977
HGST,XGB,64,1095,0.2413291484117508,1,0.0010235414534288639,977
HGST,XGB,64,1460,0.2413291484117508,2,0.0020470829068577278,977
HGST,XGB,64,-1,0.2413291484117508,24,0.02456499488229273,977
HGST,XGB,65,180,0.2579302191734314,0,0.0,977
HGST,XGB,65,365,0.2579302191734314,1,0.0010235414534288639,977
HGST,XGB,65,730,0.2579302191734314,1,0.0010235414534288639,977
HGST,XGB,65,1095,0.2579302191734314,1,0.0010235414534288639,977
HGST,XGB,65,1460,0.2579302191734314,2,0.0020470829068577278,977
HGST,XGB,65,-1,0.2579302191734314,24,0.02456499488229273,977
HGST,XGB,66,180,0.22091729938983917,0,0.0,977
HGST,XGB,66,365,0.22091729938983917,1,0.0010235414534288639,977
HGST,XGB,66,730,0.22091729938983917,3,0.0030706243602865915,977
HGST,XGB,66,1095,0.22091729938983917,3,0.0030706243602865915,977
HGST,XGB,66,1460,0.22091729938983917,5,0.00511770726714432,977
HGST,XGB,66,-1,0.22091729938983917,25,0.0255885363357216,977
HGST,XGB,67,180,0.3103453516960144,0,0.0,977
HGST,XGB,67,365,0.3103453516960144,1,0.0010235414534288639,977
HGST,XGB,67,730,0.3103453516960144,1,0.0010235414534288639,977
HGST,XGB,67,1095,0.3103453516960144,1,0.0010235414534288639,977
HGST,XGB,67,1460,0.3103453516960144,2,0.0020470829068577278,977
HGST,XGB,67,-1,0.3103453516960144,24,0.02456499488229273,977
HGST,XGB,68,180,0.25528672337532043,0,0.0,977
HGST,XGB,68,365,0.25528672337532043,1,0.0010235414534288639,977
HGST,XGB,68,730,0.25528672337532043,1,0.0010235414534288639,977
HGST,XGB,68,1095,0.25528672337532043,1,0.0010235414534288639,977
HGST,XGB,68,1460,0.25528672337532043,3,0.0030706243602865915,977
HGST,XGB,68,-1,0.25528672337532043,24,0.02456499488229273,977
HGST,XGB,69,180,0.40019237995147705,0,0.0,977
HGST,XGB,69,365,0.40019237995147705,0,0.0,977
HGST,XGB,69,730,0.40019237995147705,1,0.0010235414534288639,977
HGST,XGB,69,1095,0.40019237995147705,1,0.0010235414534288639,977
HGST,XGB,69,1460,0.40019237995147705,2,0.0020470829068577278,977
HGST,XGB,69,-1,0.40019237995147705,25,0.0255885363357216,977
HGST,XGB,70,180,0.2582707107067108,0,0.0,977
HGST,XGB,70,365,0.2582707107067108,1,0.0010235414534288639,977
HGST,XGB,70,730,0.2582707107067108,1,0.0010235414534288639,977
HGST,XGB,70,1095,0.2582707107067108,1,0.0010235414534288639,977
HGST,XGB,70,1460,0.2582707107067108,2,0.0020470829068577278,977
HGST,XGB,70,-1,0.2582707107067108,24,0.02456499488229273,977
HGST,XGB,71,180,0.3008066713809967,1,0.0010235414534288639,977
HGST,XGB,71,365,0.3008066713809967,2,0.0020470829068577278,977
HGST,XGB,71,730,0.3008066713809967,4,0.0040941658137154556,977
HGST,XGB,71,1095,0.3008066713809967,4,0.0040941658137154556,977
HGST,XGB,71,1460,0.3008066713809967,5,0.00511770726714432,977
HGST,XGB,71,-1,0.3008066713809967,24,0.02456499488229273,977
HGST,LSTM,42,180,0.0833071768283844,0,0.0,977
HGST,LSTM,42,365,0.0833071768283844,0,0.0,977
HGST,LSTM,42,730,0.0833071768283844,0,0.0,977
HGST,LSTM,42,1095,0.0833071768283844,0,0.0,977
HGST,LSTM,42,1460,0.0833071768283844,3,0.0030706243602865915,977
HGST,LSTM,42,-1,0.0833071768283844,24,0.02456499488229273,977
HGST,LSTM,43,180,0.07238728553056717,0,0.0,977
HGST,LSTM,43,365,0.07238728553056717,1,0.0010235414534288639,977
HGST,LSTM,43,730,0.07238728553056717,1,0.0010235414534288639,977
HGST,LSTM,43,1095,0.07238728553056717,1,0.0010235414534288639,977
HGST,LSTM,43,1460,0.07238728553056717,4,0.0040941658137154556,977
HGST,LSTM,43,-1,0.07238728553056717,24,0.02456499488229273,977
HGST,LSTM,44,180,0.12455155700445175,0,0.0,977
HGST,LSTM,44,365,0.12455155700445175,1,0.0010235414534288639,977
HGST,LSTM,44,730,0.12455155700445175,2,0.0020470829068577278,977
HGST,LSTM,44,1095,0.12455155700445175,2,0.0020470829068577278,977
HGST,LSTM,44,1460,0.12455155700445175,5,0.00511770726714432,977
HGST,LSTM,44,-1,0.12455155700445175,24,0.02456499488229273,977
HGST,LSTM,45,180,0.11706141382455826,0,0.0,977
HGST,LSTM,45,365,0.11706141382455826,0,0.0,977
HGST,LSTM,45,730,0.11706141382455826,0,0.0,977
HGST,LSTM,45,1095,0.11706141382455826,0,0.0,977
HGST,LSTM,45,1460,0.11706141382455826,3,0.0030706243602865915,977
HGST,LSTM,45,-1,0.11706141382455826,24,0.02456499488229273,977
HGST,LSTM,46,180,0.05630766600370407,0,0.0,977
HGST,LSTM,46,365,0.05630766600370407,0,0.0,977
HGST,LSTM,46,730,0.05630766600370407,1,0.0010235414534288639,977
HGST,LSTM,46,1095,0.05630766600370407,2,0.0020470829068577278,977
HGST,LSTM,46,1460,0.05630766600370407,5,0.00511770726714432,977
HGST,LSTM,46,-1,0.05630766600370407,24,0.02456499488229273,977
HGST,LSTM,47,180,0.0958150178194046,0,0.0,977
HGST,LSTM,47,365,0.0958150178194046,1,0.0010235414534288639,977
HGST,LSTM,47,730,0.0958150178194046,1,0.0010235414534288639,977
HGST,LSTM,47,1095,0.0958150178194046,1,0.0010235414534288639,977
HGST,LSTM,47,1460,0.0958150178194046,4,0.0040941658137154556,977
