dataset,model,seed,split,threshold_kind,threshold,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm,N_failed,N_censored,N_alarmed,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time
HGST_20HUH721212ALN604,LSTM,59,test,row_opt,0.035,12,99,51,69,908,162,977,180,0.066667,0.074074,0.070175,0.070624,0.108108,328.48,226.0,318.9
HGST_20HUH721212ALN604,LSTM,59,test,disk_opt,0.123,24,43,95,24,953,162,977,91,0.263736,0.148148,0.189723,0.024565,0.358209,152.1,63.0,246.44
HGST_20HUH721212ALN604,LSTM,60,val,row_opt,0.028,15,105,40,77,898,160,975,197,0.076142,0.09375,0.084034,0.078974,0.125,292.6,235.0,256.93
HGST_20HUH721212ALN604,LSTM,60,val,disk_opt,0.175,15,32,113,9,966,160,975,56,0.267857,0.09375,0.138889,0.009231,0.319149,124.19,55.0,176.18
HGST_20HUH721212ALN604,LSTM,60,test,row_opt,0.028,10,104,48,83,894,162,977,197,0.050761,0.061728,0.05571,0.084954,0.087719,327.59,232.0,310.17
HGST_20HUH721212ALN604,LSTM,60,test,disk_opt,0.175,20,30,112,13,964,162,977,63,0.31746,0.123457,0.177778,0.013306,0.4,157.66,68.5,240.17
HGST_20HUH721212ALN604,LSTM,61,val,row_opt,0.039,14,95,51,58,917,160,975,167,0.083832,0.0875,0.085627,0.059487,0.12844,259.89,191.0,245.82
HGST_20HUH721212ALN604,LSTM,61,val,disk_opt,0.195,15,33,112,9,966,160,975,57,0.263158,0.09375,0.138249,0.009231,0.3125,132.5,62.5,172.06
HGST_20HUH721212ALN604,LSTM,61,test,row_opt,0.039,12,97,53,58,919,162,977,167,0.071856,0.074074,0.072948,0.059365,0.110092,291.39,179.0,302.79
HGST_20HUH721212ALN604,LSTM,61,test,disk_opt,0.195,19,31,112,14,963,162,977,64,0.296875,0.117284,0.168142,0.01433,0.38,171.08,59.0,250.16
HGST_20HUH721212ALN604,LSTM,62,val,row_opt,0.035,12,102,46,59,916,160,975,173,0.069364,0.075,0.072072,0.060513,0.105263,272.76,209.5,245.43
HGST_20HUH721212ALN604,LSTM,62,val,disk_opt,0.138,18,45,97,9,966,160,975,72,0.25,0.1125,0.155172,0.009231,0.285714,136.81,70.0,167.26
HGST_20HUH721212ALN604,LSTM,62,test,row_opt,0.035,9,101,52,63,914,162,977,173,0.052023,0.055556,0.053731,0.064483,0.081818,316.48,218.5,313.18
HGST_20HUH721212ALN604,LSTM,62,test,disk_opt,0.138,21,41,100,16,961,162,977,78,0.269231,0.12963,0.175,0.016377,0.33871,166.85,69.5,233.85
HGST_20HUH721212ALN604,GRU,42,val,row_opt,0.04,19,99,42,59,916,160,975,177,0.107345,0.11875,0.11276,0.060513,0.161017,276.01,204.0,262.01
HGST_20HUH721212ALN604,GRU,42,val,disk_opt,0.149,19,40,101,9,966,160,975,68,0.279412,0.11875,0.166667,0.009231,0.322034,124.12,73.0,155.75
HGST_20HUH721212ALN604,GRU,42,test,row_opt,0.04,10,103,49,64,913,162,977,177,0.056497,0.061728,0.058997,0.065507,0.088496,321.81,223.0,311.93
HGST_20HUH721212ALN604,GRU,42,test,disk_opt,0.149,23,40,99,18,959,162,977,81,0.283951,0.141975,0.1893,0.018424,0.365079,169.73,75.0,252.24
