dataset,model,seed,split,threshold_kind,threshold,precision,recall,f1,far,auroc,tp,fp,fn,tn
HGST_20HUH721212ALN604,LSTM,56,val,disk_opt,0.148,0.210432,0.197696,0.203866,0.00133,0.928372,944,3542,3831,2658697
HGST_20HUH721212ALN604,LSTM,56,test,row_opt,0.033,0.07006,0.455331,0.121435,0.010795,0.913405,2161,28684,2585,2628441
HGST_20HUH721212ALN604,LSTM,56,test,disk_opt,0.148,0.138765,0.124526,0.13126,0.00138,0.913405,591,3668,4155,2653457
HGST_20HUH721212ALN604,LSTM,57,val,row_opt,0.037,0.081445,0.483979,0.139427,0.00979,0.924122,2311,26064,2464,2636175
HGST_20HUH721212ALN604,LSTM,57,val,disk_opt,0.162,0.201395,0.145131,0.168695,0.001032,0.924122,693,2748,4082,2659491
HGST_20HUH721212ALN604,LSTM,57,test,row_opt,0.037,0.07514,0.467762,0.12948,0.010284,0.916204,2220,27325,2526,2629800
HGST_20HUH721212ALN604,LSTM,57,test,disk_opt,0.162,0.153712,0.130426,0.141115,0.001283,0.916204,619,3408,4127,2653717
HGST_20HUH721212ALN604,LSTM,58,val,row_opt,0.038,0.080997,0.486492,0.138873,0.0099,0.924492,2323,26357,2452,2635882
HGST_20HUH721212ALN604,LSTM,58,val,disk_opt,0.127,0.180973,0.179267,0.180116,0.001455,0.924492,856,3874,3919,2658365
HGST_20HUH721212ALN604,LSTM,58,test,row_opt,0.038,0.072036,0.462073,0.124641,0.010632,0.915422,2193,28250,2553,2628875
HGST_20HUH721212ALN604,LSTM,58,test,disk_opt,0.127,0.154131,0.175306,0.164038,0.001718,0.915422,832,4566,3914,2652559
HGST_20HUH721212ALN604,LSTM,59,val,row_opt,0.035,0.085609,0.503455,0.146336,0.009645,0.923926,2404,25677,2371,2636562
HGST_20HUH721212ALN604,LSTM,59,val,disk_opt,0.123,0.207613,0.198743,0.203082,0.001361,0.923926,949,3622,3826,2658617
HGST_20HUH721212ALN604,LSTM,59,test,row_opt,0.035,0.066128,0.437842,0.114902,0.011044,0.913788,2078,29346,2668,2627779
HGST_20HUH721212ALN604,LSTM,59,test,disk_opt,0.123,0.149784,0.175095,0.161453,0.001775,0.913788,831,4717,3915,2652408
HGST_20HUH721212ALN604,LSTM,60,val,row_opt,0.028,0.084074,0.495497,0.143756,0.009682,0.918567,2366,25776,2409,2636463
HGST_20HUH721212ALN604,LSTM,60,val,disk_opt,0.175,0.240075,0.134241,0.172196,0.000762,0.918567,641,2029,4134,2660210
HGST_20HUH721212ALN604,LSTM,60,test,row_opt,0.028,0.072806,0.49389,0.126905,0.011234,0.911542,2344,29851,2402,2627274
HGST_20HUH721212ALN604,LSTM,60,test,disk_opt,0.175,0.18002,0.113148,0.138957,0.000921,0.911542,537,2446,4209,2654679
HGST_20HUH721212ALN604,LSTM,61,val,row_opt,0.039,0.082082,0.491099,0.140655,0.00985,0.919575,2345,26224,2430,2636015
HGST_20HUH721212ALN604,LSTM,61,val,disk_opt,0.195,0.187534,0.144293,0.163096,0.001121,0.919575,689,2985,4086,2659254
HGST_20HUH721212ALN604,LSTM,61,test,row_opt,0.039,0.068655,0.45196,0.119203,0.010951,0.907031,2145,29098,2601,2628027
HGST_20HUH721212ALN604,LSTM,61,test,disk_opt,0.195,0.166573,0.124526,0.142513,0.001113,0.907031,591,2957,4155,2654168
HGST_20HUH721212ALN604,LSTM,62,val,row_opt,0.035,0.082656,0.485445,0.14126,0.009663,0.921158,2318,25726,2457,2636513
HGST_20HUH721212ALN604,LSTM,62,val,disk_opt,0.138,0.242231,0.17466,0.202969,0.00098,0.921158,834,2609,3941,2659630
HGST_20HUH721212ALN604,LSTM,62,test,row_opt,0.035,0.074528,0.497261,0.129628,0.011029,0.911809,2360,29306,2386,2627819
HGST_20HUH721212ALN604,LSTM,62,test,disk_opt,0.138,0.146986,0.151075,0.149002,0.001566,0.911809,717,4161,4029,2652964
HGST_20HUH721212ALN604,GRU,42,val,row_opt,0.04,0.085527,0.504084,0.146242,0.009667,0.930125,2407,25736,2368,2636503
HGST_20HUH721212ALN604,GRU,42,val,disk_opt,0.149,0.224863,0.146597,0.177485,0.000906,0.930125,700,2413,4075,2659826
HGST_20HUH721212ALN604,GRU,42,test,row_opt,0.04,0.076285,0.46713,0.131152,0.010103,0.918419,2217,26845,2529,2630280
HGST_20HUH721212ALN604,GRU,42,test,disk_opt,0.149,0.170798,0.132111,0.148984,0.001146,0.918419,627,3044,4119,2654081
HGST_20HUH721212ALN604,GRU,43,val,row_opt,0.04,0.083333,0.501361,0.142913,0.009892,0.922729,2394,26334,2381,2635905
