trial,pauc,recall01,width,depth,dropout,learning_rate,weight_decay,batch_size
36,0.8972868705692192,0.7935855263157895,128,3,0.44521118098393525,0.0007588905351297043,0.0017273185540791966,1024
43,0.8972717556367633,0.7935855263157895,64,2,0.1344246495216115,0.0008189005447933602,0.005508675527116992,1024
23,0.8972177076406675,0.7935855263157895,64,3,0.2784268706910725,0.0001018032370321314,0.002878902324594288,1024
27,0.8971851187307467,0.7648026315789473,64,4,0.12261743033355632,0.0003350619863054286,0.0019193856612742942,1024
42,0.896647339399126,0.7516447368421053,64,2,0.1849648248997001,0.000727199257746097,0.00011299491780352269,1024
5,0.8966255036863531,0.7960526315789473,128,2,0.07948479182275986,0.00016624564693643637,0.0004220057397195019,4096
31,0.8965443137791582,0.7516447368421053,64,2,0.22193760765262865,0.0005289413796539187,0.0008380724317104705,1024
8,0.8963308367851288,0.7804276315789473,128,2,0.35816360205928277,0.000379150982653768,5.404623534323801e-06,4096
13,0.8962752927932074,0.7804276315789473,64,3,0.25329373067629485,0.00024153876991382656,0.00900236665336898,1024
15,0.8957470038742096,0.7935855263157895,64,3,0.2556173189485616,0.0003409085095905029,0.002203151864809004,1024
18,0.8954436147712503,0.7672697368421053,64,3,0.29387017768664375,0.0001926535261372791,0.0010259333757170344,1024
40,0.8953059983003071,0.7516447368421053,512,3,0.06374785931918489,0.0018030705182730787,0.0004289763761347234,4096
1,0.8946887844438239,0.7935855263157895,256,2,0.01010919872016286,0.0046263628414755864,0.0012960656597279737,2048
7,0.8944551064381782,0.7516447368421053,512,3,0.03207374817439218,0.00242629855036858,0.00018467402585753705,2048
4,0.8941505313648344,0.7804276315789473,128,2,0.1818553854713113,0.0013816356822574799,5.680754927416792e-05,1024
29,0.894127354707476,0.8092105263157895,512,3,0.27148799745957847,0.000987418886567897,0.004439178096950491,2048
16,0.8927356209511328,0.7804276315789473,64,3,0.4180403390169886,0.00016575665445167672,0.009821281796588801,1024
9,0.8925511326900413,0.8092105263157895,512,4,0.12437657175997902,0.0014200860749035516,0.00023343594208268865,4096
46,0.891762782414137,0.7804276315789473,128,3,0.373183402815329,0.00012963068161827955,1.2585449737600596e-05,1024
47,0.8914075216427092,0.7935855263157895,64,3,0.09953399184290834,0.00020086238190127452,0.00016310800094557697,1024
14,0.8911680952155134,0.7804276315789473,64,4,0.39252972815938153,0.00010587489539955728,0.0013846037613356925,1024
24,0.890333883319377,0.7672697368421053,64,3,0.35459973597211175,0.00021723966027274467,0.0058405322785746745,1024
19,0.8850778037310864,0.7648026315789473,64,4,0.401345047543323,0.00012703769985921993,0.0036954228571889247,4096
