trial,pauc,recall01,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
27,0.8922865636779997,0.7804276315789473,0.01990930564372074,6,19,0.7455533417220257,0.9416270279277136,1.0082724844433846
29,0.8921617494660685,0.7804276315789473,0.06139429722098465,8,6,0.7844291469206218,0.5542323704669772,0.434146979513749
8,0.8917592980119893,0.7648026315789473,0.029236536416560464,5,7,0.7193007567311602,0.9941869190296131,0.0025596420901526653
47,0.8915318048157749,0.7804276315789473,0.027295879800781443,9,21,0.6477942302254551,0.9160112621487346,0.7435064868687093
0,0.8913311597740883,0.7648026315789473,0.0646642271741456,8,8,0.7724415914984484,0.7118273996694524,0.3833332156156664
5,0.8913204726584605,0.7779605263157895,0.024591256383397347,9,4,0.7842169744343243,0.5093949002181776,0.2954894558726685
3,0.8911461804484206,0.7648026315789473,0.1410690937355148,9,46,0.8995792821083618,0.7307396811264659,1.324697464746845
13,0.8908652945622517,0.7804276315789473,0.11811874086611407,7,23,0.9833889731679984,0.6330875034596921,0.04017860544913721
18,0.8906935533985836,0.7648026315789473,0.09686515341470892,8,16,0.8107193961534503,0.7889111767713847,0.011870517740878205
15,0.8905215338786346,0.7935855263157895,0.2077110194279571,6,45,0.6298371806133155,0.8175763823090672,0.001037823669777284
19,0.8901346063008049,0.7648026315789473,0.17343956464370444,5,33,0.5704092141265169,0.6822542736133355,0.47016681331965415
46,0.8900096314334085,0.7804276315789473,0.036634386201753175,9,10,0.5622383224248664,0.9800373582994768,5.3583514112041515
25,0.8897862377748189,0.725328947368421,0.0552393591855447,8,22,0.5782737293368941,0.9682902136150913,0.023926758315130726
48,0.8891013968496271,0.756578947368421,0.07320873196267431,7,41,0.5356063919303772,0.8452939690178969,1.624869675781071
39,0.8877767539614996,0.7804276315789473,0.12274050665938659,8,19,0.5246428455846845,0.8892882144806606,0.148750756300636
37,0.8875580528219509,0.7779605263157895,0.02327270291687086,8,2,0.5469494071564889,0.9537074155275741,0.8521948629275429
2,0.8873687263093026,0.7935855263157895,0.06903521707993515,10,1,0.5435646498507704,0.5101091987201629,2.1403233140986067
49,0.8871399172764818,0.7384868421052632,0.054125512681897345,3,24,0.5809210187170956,0.9504126512861271,0.03571998670639876
12,0.8861623123813855,0.725328947368421,0.04626013547291133,6,24,0.6152344226058636,0.8411146354924881,0.024089469852140423
32,0.8842785918427098,0.740953947368421,0.04077985531209073,9,50,0.5965157746164066,0.9646338493508251,0.2616516231755759
40,0.8834881726536318,0.7779605263157895,0.15309107458852375,8,1,0.5354064924786481,0.9988991202098071,0.2883734149874197
10,0.8740355054728466,0.8092105263157895,0.24525058977347297,6,3,0.5100229215872224,0.8754753493332532,7.992355836571746
