arm,far_target,tp,fn,fp,tn,roc,recall,far
easy_ensemble,0.05,37,10,1470,27777,0.9576498487937651,0.7872340425531915,0.05026156528874756
match_val,0.001,7,40,30,29217,0.9614316318761599,0.14893617021276595,0.0010257462303826033
match_val,0.005,21,26,147,29100,0.9614316318761599,0.44680851063829785,0.005026156528874756
match_val,0.01,25,22,294,28953,0.9614316318761599,0.5319148936170213,0.010052313057749512
match_val,0.05,37,10,1465,27782,0.9614316318761599,0.7872340425531915,0.0500906075836838
none,0.001,5,42,30,29217,0.9598873333264119,0.10638297872340426,0.0010257462303826033
none,0.005,24,23,147,29100,0.9598873333264119,0.5106382978723404,0.005026156528874756
none,0.01,28,19,294,28953,0.9598873333264119,0.5957446808510638,0.010052313057749512
none,0.05,39,8,1465,27782,0.9598873333264119,0.8297872340425532,0.0500906075836838
ros,0.001,4,43,30,29217,0.9601399113016192,0.0851063829787234,0.0010257462303826033
ros,0.005,15,32,147,29100,0.9601399113016192,0.3191489361702128,0.005026156528874756
ros,0.01,19,28,294,28953,0.9601399113016192,0.40425531914893614,0.010052313057749512
ros,0.05,39,8,1465,27782,0.9601399113016192,0.8297872340425532,0.0500906075836838
rus_1,0.001,18,29,157,29090,0.9541351667456933,0.3829787234042553,0.005368071939002291
rus_1,0.005,20,27,167,29080,0.9541351667456933,0.425531914893617,0.0057099873491298254
rus_1,0.01,25,22,324,28923,0.9541351667456933,0.5319148936170213,0.011078059288132117
rus_1,0.05,37,10,1465,27782,0.9541351667456933,0.7872340425531915,0.0500906075836838
rus_10,0.001,3,44,30,29217,0.9477816559095715,0.06382978723404255,0.0010257462303826033
rus_10,0.005,18,29,147,29100,0.9477816559095715,0.3829787234042553,0.005026156528874756
rus_10,0.01,26,21,294,28953,0.9477816559095715,0.5531914893617021,0.010052313057749512
rus_10,0.05,37,10,1465,27782,0.9477816559095715,0.7872340425531915,0.0500906075836838
rus_50,0.001,7,40,30,29217,0.9573147539630567,0.14893617021276595,0.0010257462303826033
rus_50,0.005,16,31,147,29100,0.9573147539630567,0.3404255319148936,0.005026156528874756
rus_50,0.01,27,20,294,28953,0.9573147539630567,0.574468085106383,0.010052313057749512
rus_50,0.05,40,7,1465,27782,0.9573147539630567,0.851063829787234,0.0500906075836838
rusboost,0.001,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402
rusboost,0.005,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402
rusboost,0.01,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402
rusboost,0.05,35,12,1890,27357,0.9159318871743799,0.7446808510638298,0.06462201251410402
smote,0.001,3,44,30,29217,0.9498612070849175,0.06382978723404255,0.0010257462303826033
smote,0.005,7,40,147,29100,0.9498612070849175,0.14893617021276595,0.005026156528874756
smote,0.01,18,29,294,28953,0.9498612070849175,0.3829787234042553,0.010052313057749512
smote,0.05,38,9,1465,27782,0.9498612070849175,0.8085106382978723,0.0500906075836838
smote_tomek,0.001,3,44,30,29217,0.9540577503488769,0.06382978723404255,0.0010257462303826033
smote_tomek,0.005,9,38,147,29100,0.9540577503488769,0.19148936170212766,0.005026156528874756
smote_tomek,0.01,17,30,294,28953,0.9540577503488769,0.3617021276595745,0.010052313057749512
smote_tomek,0.05,37,10,1465,27782,0.9540577503488769,0.7872340425531915,0.0500906075836838
stride_30,0.001,6,41,30,29217,0.9660432840972714,0.1276595744680851,0.0010257462303826033
stride_30,0.005,16,31,147,29100,0.9660432840972714,0.3404255319148936,0.005026156528874756
stride_30,0.01,27,20,294,28953,0.9660432840972714,0.574468085106383,0.010052313057749512
stride_30,0.05,39,8,1465,27782,0.9660432840972714,0.8297872340425532,0.0500906075836838
