arm,arm_desc,experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
stride_30,시간축 언더샘플링 (음성 30일 간격),imb_stride_30,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.0835416547954081,14,9724,11,3,534,9190,0.7857142857142857,0.0201834862385321,0.0549156725627313,0.975421637186343,0.0645855708466899
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.195899374336004,16,9782,5,11,18,9764,0.3125,0.217391304347826,0.001840114496013,0.9542399304845636,0.122679572141406
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0895975740998983,16,9782,8,8,64,9718,0.5,0.1111111111111111,0.0065426293191576,0.9542399304845636,0.122679572141406
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0479312825948,16,9782,10,6,130,9652,0.625,0.0714285714285714,0.0132897158045389,0.9542399304845636,0.122679572141406
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.005084818508476,16,9782,13,3,511,9271,0.8125,0.0248091603053435,0.0522388059701492,0.9542399304845636,0.122679572141406
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.195899374336004,17,9741,4,13,8,9733,0.2352941176470588,0.3333333333333333,0.0008212709167436,0.9583869272994076,0.1623165799079682
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0895975740998983,17,9741,9,8,55,9686,0.5294117647058824,0.140625,0.0056462375526126,0.9583869272994076,0.1623165799079682
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0479312825948,17,9741,11,6,110,9631,0.6470588235294118,0.0909090909090909,0.0112924751052253,0.9583869272994076,0.1623165799079682
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.005084818508476,17,9741,14,3,456,9285,0.8235294117647058,0.0297872340425531,0.0468124422543886,0.9583869272994076,0.1623165799079682
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.195899374336004,14,9724,1,13,15,9709,0.0714285714285714,0.0625,0.0015425750719868,0.9716680378445084,0.0676419781432055
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.0895975740998983,14,9724,4,10,55,9669,0.2857142857142857,0.0677966101694915,0.005656108597285,0.9716680378445084,0.0676419781432055
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.0479312825948,14,9724,8,6,127,9597,0.5714285714285714,0.0592592592592592,0.0130604689428218,0.9716680378445084,0.0676419781432055
match_val,학습 유병률을 val 창에 정합,imb_match_val,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.005084818508476,14,9724,10,4,442,9282,0.7142857142857143,0.0221238938053097,0.0454545454545454,0.9716680378445084,0.0676419781432055
ros,RUS 1:50 + 무작위 오버샘플링 1:1,imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.001,0.9841234836578368,16,9782,3,13,16,9766,0.1875,0.1578947368421052,0.0016356573297894,0.9499079942751992,0.1761921134009051
ros,RUS 1:50 + 무작위 오버샘플링 1:1,imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.005,0.9754725801944732,16,9782,6,10,55,9727,0.375,0.0983606557377049,0.005622572071151,0.9499079942751992,0.1761921134009051
ros,RUS 1:50 + 무작위 오버샘플링 1:1,imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.01,0.9666503822803496,16,9782,10,6,105,9677,0.625,0.0869565217391304,0.0107340012267429,0.9499079942751992,0.1761921134009051
ros,RUS 1:50 + 무작위 오버샘플링 1:1,imb_ros,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,val_quantile,0.05,0.8183488845825195,16,9782,14,2,516,9266,0.875,0.0264150943396226,0.0527499488857084,0.9499079942751992,0.1761921134009051
