Timestamp,Model,데이터,불균형 처리,첫날포함여부,Seed,Lead Time,Row Precision,Row Recall,Row F1,Row PR-AUC,Row FAR (%),Threshold,Disk-level Precision,Disk-level Recall,F1-score,Disk-level FAR (%),Median Lead Time,EDR@15,Single-Obs Precision,Single-Obs Recall,Single-Obs F1,Single-Obs FAR (%),,,,,,,,,,,,
2026-08-04 21:51,XGB,ST12000NM0007,none,포함(False),46,30,0.0696,0.3605,0.1167,0.0506,0.91,0.02,0.3251,0.2933,0.3084,3.75,6,0.0756,,,,,,,,,,,,,,14,55.5,
2026-08-04 21:52,LSTM,ST12000NM0007,none,포함(False),46,30,0.0663,0.3821,0.113,0.0695,1.01,0.02,0.2171,0.2711,0.2411,6.02,4,0.0622,,,,,,,,,,,,,,34,44.5,
2026-08-04 21:54,GRU,ST12000NM0007,none,포함(False),46,30,0.0673,0.3719,0.1139,0.0678,0.97,0.02,0.2052,0.28,0.2368,6.67,4,0.0578,,,,,,,,,,,,,,28.5,46.5,
2026-08-04 21:54,LGBM,HGST_20HUH721212ALN604,none,포함(False),46,30,0.0709,0.4254,0.1216,0.0821,1,0.03,0.1789,0.1049,0.1323,7.98,7,0.037,,,,,,,,,,,,,,44,17.5,
2026-08-04 21:54,XGB,HGST_20HUH721212ALN604,none,포함(False),46,30,0.0797,0.4545,0.1357,0.1166,0.94,0.04,0.1529,0.0802,0.1053,7.37,15,0.0432,,,,,,,,,,,,,,56,10.5,
2026-08-04 21:55,LSTM,HGST_20HUH721212ALN604,none,포함(False),46,30,0.0806,0.4064,0.1346,0.0916,0.83,0.04,0.1923,0.0617,0.0935,4.3,7,0.0062,,,,,,,,,,,,,,40,2.5,
2026-08-04 21:55,GRU,HGST_20HUH721212ALN604,none,포함(False),46,30,0.0828,0.3761,0.1357,0.1003,0.74,0.04,0.1714,0.0741,0.1034,5.94,9.5,0.037,,,,,,,,,,,,,,31,6.5,
2026-08-04 21:56,LGBM,TOSHIBA_20MG07ACA14TA,none,포함(False),46,30,0.163,0.2607,0.2006,0.119,0.11,0.01,0.473,0.1675,0.2473,1.05,8,0.0478,,,,,,,,,,,,,,5.5,23.5,
2026-08-04 21:56,XGB,TOSHIBA_20MG07ACA14TA,none,포함(False),46,30,0.0633,0.3695,0.1081,0.0611,0.47,0.01,0.2431,0.2105,0.2256,3.67,4.5,0.067,,,,,,,,,,,,,,24,38,
2026-08-04 21:59,LSTM,TOSHIBA_20MG07ACA14TA,none,포함(False),46,30,0.0623,0.4462,0.1093,0.0877,0.57,0.01,0.1653,0.1914,0.1774,5.42,8.5,0.067,,,,,,,,,,,,,,50,28,
2026-08-04 22:01,GRU,TOSHIBA_20MG07ACA14TA,none,포함(False),46,30,0.0502,0.4509,0.0904,0.0846,0.73,0.01,0.1762,0.1914,0.1835,5.02,6,0.067,,,,,,,,,,,,,,52.5,28,
