arm,arm_desc,model,far_target,n_failed,n_healthy,tp,fn,fp,tn,roc_auc,recall,precision,far
asfd28,"ASFD(차분 절대합), 28일만",xgboost,0.01,47,29247,27,20,487,28760,0.9525655955582596,0.574468085106383,0.05252918287937743,0.016651280473210926
cid7,"CID(복잡도 추정치), 7일만",xgboost,0.01,47,29247,27,20,548,28699,0.9522345330342944,0.574468085106383,0.04695652173913043,0.018736964474988887
combo_roll30_cid30,롤링30일 + CID30일,xgboost,0.01,47,29247,27,20,361,28886,0.9522337153985174,0.574468085106383,0.06958762886597938,0.012343146305603993
raw_only,"파생 없음, SMART 원값 18개만 (baseline 대조군)",xgboost,0.01,235,146235,133,102,1745,144490,0.9581642477810555,0.5659574468085107,0.07082002129925452,0.011932847813450952
asfd14,"ASFD(차분 절대합), 14일만",xgboost,0.01,47,29247,26,21,390,28857,0.9572951450630579,0.5531914893617021,0.0625,0.013334700994973844
combo_roll30_asfd30,롤링30일 + ASFD30일,xgboost,0.01,47,29247,25,22,361,28886,0.9539948708857239,0.5319148936170213,0.06476683937823834,0.012343146305603993
since_start,segment 시작 이후 누적 증가량만,xgboost,0.01,47,29247,25,22,322,28925,0.9594802817727935,0.5319148936170213,0.07204610951008646,0.011009676206106609
age,"나이만 (age_days, segment_age_days)",xgboost,0.01,47,29247,24,23,377,28870,0.9552870224015813,0.5106382978723404,0.059850374064837904,0.012890210961808049
roll14,"롤링 평균·표준편차, 14일만",xgboost,0.01,47,29247,24,23,342,28905,0.9612421051111207,0.5106382978723404,0.06557377049180328,0.011693507026361677
cid14,"CID(복잡도 추정치), 14일만",xgboost,0.01,47,29247,23,24,283,28964,0.9592887946342388,0.48936170212765956,0.07516339869281045,0.009676206106609225
asfd7_tuned,ASFD7일 + Optuna 튜닝 (Proposed),xgboost_tuned,0.05,235,146235,219,16,8102,138133,0.969964486064844,0.9319148936170213,0.02631895204903257,0.05540397305706568
combo_asfd7_cid30,ASFD7일 + CID30일,xgboost,0.05,47,29247,43,4,1566,27681,0.9655984532256688,0.9148936170212766,0.026724673710379118,0.05354395322597189
rolling,롤링 평균·표준편차만 (7/30일),xgboost,0.05,47,29247,43,4,1520,27727,0.9663029821050876,0.9148936170212766,0.027511196417146513,0.05197114233938523
triple_asfd7_diff_age,ASFD7일 + 차분 + 나이,xgboost,0.05,47,29247,43,4,1706,27541,0.9657340655444832,0.9148936170212766,0.024585477415666093,0.05833076896775738
full_critical_age,차분+롤링+누적+나이 전부 (features.yaml 원래 기본값과 동일),xgboost,0.05,47,29247,42,5,1642,27605,0.9643608443369693,0.8936170212765957,0.02494061757719715,0.056142510342941154
roll7,"롤링 평균·표준편차, 7일만",xgboost,0.05,47,29247,42,5,1499,27748,0.966430019217261,0.8936170212765957,0.027255029201817,0.05125311997811741
triple_asfd7_diff_cid30,ASFD7일 + 차분 + CID30일,xgboost,0.05,47,29247,42,5,1699,27548,0.9653136599191727,0.8936170212765957,0.024124066628374498,0.058091428180668106
combo_asfd7_diff,ASFD7일 + 차분(1/7/30),xgboost,0.05,235,146235,209,26,8403,137832,0.9698639383428406,0.8893617021276595,0.024268462610311195,0.05746230382603344
asfd7,"ASFD(차분 절대합), 7일만",xgboost,0.05,235,146235,207,28,7637,138598,0.9555221612124096,0.8808510638297873,0.026389597144314124,0.05222415974287961
asfd30,"ASFD(차분 절대합), 30일만",xgboost,0.05,47,29247,41,6,1543,27704,0.9675178836716641,0.8723404255319149,0.025883838383838384,0.05275754778267856
combo_asfd14_diff,ASFD14일 + 차분(1/7/30),xgboost,0.05,47,29247,41,6,1720,27527,0.9674830000665272,0.8723404255319149,0.02328222600795003,0.058809450541935926
combo_roll30_diff,롤링30일 + 차분(1/7/30),xgboost,0.05,47,29247,41,6,1623,27624,0.9726486966452828,0.8723404255319149,0.024639423076923076,0.055492871063698844
full_critical,"차분+롤링+누적 전부 (critical, 나이 제외)",xgboost,0.05,47,29247,41,6,1483,27764,0.9705709120840272,0.8723404255319149,0.02690288713910761,0.05070605532191336
roll14,"롤링 평균·표준편차, 14일만",xgboost,0.05,47,29247,41,6,1400,27847,0.9612421051111207,0.8723404255319149,0.028452463566967384,0.04786815741785482
scope_all,"차분+롤링+누적 전부, 존재하는 SMART 18개 전체",xgboost,0.05,47,29247,41,6,1504,27743,0.9731079133979934,0.8723404255319149,0.026537216828478965,0.051424077683181184
triple_asfd7_diff_roll30,ASFD7일 + 차분 + 롤링30일,xgboost,0.05,47,29247,41,6,1504,27743,0.9609951210265136,0.8723404255319149,0.026537216828478965,0.051424077683181184
diff,차분만 (diff_lags 1/7/30),xgboost,0.05,235,146235,203,32,8482,137753,0.9712512032383572,0.8638297872340426,0.02337363270005757,0.05800253017403494
cid30,"CID(복잡도 추정치), 30일만",xgboost,0.05,47,29247,40,7,1631,27616,0.9612706360781207,0.851063829787234,0.023937761819269897,0.05576640339180087
combo_asfd28_d1,ASFD28일 + 차분 1일만,xgboost,0.05,47,29247,40,7,1532,27715,0.9592723328989008,0.851063829787234,0.02544529262086514,0.05238144083153828
combo_roll30_asfd7,롤링30일 + ASFD7일 (공동 1위 결합),xgboost,0.05,47,29247,40,7,1316,27931,0.9596961997551738,0.851063829787234,0.029498525073746312,0.044996067972783535
scope_all_champion,승자 조합(ASFD7일+차분)을 SMART 18개 전체로 확장,xgboost,0.05,47,29247,40,7,1587,27660,0.974373062907807,0.851063829787234,0.024585125998770743,0.05426197558723972
triple_asfd7_diff_since_start,ASFD7일 + 차분 + 누적,xgboost,0.05,47,29247,40,7,1685,27562,0.9605502119202058,0.851063829787234,0.02318840579710145,0.05761274660648955
combo_asfd7_d1,ASFD7일 + 차분 1일만,xgboost,0.05,235,146235,198,37,7993,138242,0.9605056460909015,0.8425531914893617,0.024172872665120256,0.05465859746298766
asfd14,"ASFD(차분 절대합), 14일만",xgboost,0.05,47,29247,39,8,1574,27673,0.9572951450630579,0.8297872340425532,0.02417854928704278,0.053817485554073924
combo_asfd14_d1,ASFD14일 + 차분 1일만,xgboost,0.05,47,29247,39,8,1655,27592,0.9555830783928009,0.8297872340425532,0.023022432113341203,0.05658700037610695
combo_roll30_asfd30,롤링30일 + ASFD30일,xgboost,0.05,47,29247,39,8,1567,27680,0.9539948708857239,0.8297872340425532,0.024283935242839352,0.05357814476698465
roll30,"롤링 평균·표준편차, 30일만",xgboost,0.05,47,29247,39,8,1475,27772,0.9687234268022683,0.8297872340425532,0.025759577278731835,0.05043252299381133
raw_only,"파생 없음, SMART 원값 18개만 (baseline 대조군)",xgboost,0.05,235,146235,192,43,7531,138704,0.9581642477810555,0.8170212765957446,0.024860805386507832,0.051499299073409235
asfd28,"ASFD(차분 절대합), 28일만",xgboost,0.05,47,29247,38,9,1602,27645,0.9525655955582596,0.8085106382978723,0.023170731707317073,0.05477484870243102
cid14,"CID(복잡도 추정치), 14일만",xgboost,0.05,47,29247,38,9,1477,27770,0.9592887946342388,0.8085106382978723,0.025082508250825083,0.050500906075836835
cid7,"CID(복잡도 추정치), 7일만",xgboost,0.05,47,29247,38,9,1611,27636,0.9522345330342944,0.8085106382978723,0.02304426925409339,0.0550825725715458
combo_roll30_cid30,롤링30일 + CID30일,xgboost,0.05,47,29247,38,9,1561,27686,0.9522337153985174,0.8085106382978723,0.023764853033145718,0.05337299552090813
age,"나이만 (age_days, segment_age_days)",xgboost,0.05,47,29247,36,11,1427,27820,0.9552870224015813,0.7659574468085106,0.02460697197539303,0.048791329025199164
since_start,segment 시작 이후 누적 증가량만,xgboost,0.05,47,29247,35,12,1229,28018,0.9594802817727935,0.7446808510638298,0.027689873417721517,0.04202140390467398
