experiment,drive,model,family,rule,far_target,n_seeds,n_failed_pooled,n_healthy_pooled,recall_mean,recall_sd,precision_mean,precision_sd,far_mean,far_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,tp_mean,tp_sd
zoo_3month,HGST_20HUH721212ALN604,lda,tabular,in_horizon,0.005,1,47,29247,0.7446808510638298,0.0,0.03626943005181347,0.0,0.0317981331418607,0.0,0.9250636314548827,0.0,0.031624543197396125,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lda,tabular,in_horizon,0.01,1,47,29247,0.7446808510638298,0.0,0.03626943005181347,0.0,0.0317981331418607,0.0,0.9250636314548827,0.0,0.031624543197396125,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lda,tabular,in_horizon,0.02,1,47,29247,0.7446808510638298,0.0,0.03626943005181347,0.0,0.0317981331418607,0.0,0.9250636314548827,0.0,0.031624543197396125,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lda,tabular,in_horizon,0.04,1,47,29247,0.7659574468085106,0.0,0.029826014913007456,0.0,0.040038294525934284,0.0,0.9250636314548827,0.0,0.031624543197396125,0.0,36.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gaussiannb,tabular,in_horizon,0.005,1,47,29247,0.8723404255319149,0.0,0.0164,0.0,0.08407699935036073,0.0,0.9076370841446475,0.0,0.015186324412194871,0.0,41.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gaussiannb,tabular,in_horizon,0.01,1,47,29247,0.8723404255319149,0.0,0.0164,0.0,0.08407699935036073,0.0,0.9076370841446475,0.0,0.015186324412194871,0.0,41.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gaussiannb,tabular,in_horizon,0.02,1,47,29247,0.8723404255319149,0.0,0.0164,0.0,0.08407699935036073,0.0,0.9076370841446475,0.0,0.015186324412194871,0.0,41.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gaussiannb,tabular,in_horizon,0.04,1,47,29247,0.8723404255319149,0.0,0.0164,0.0,0.08407699935036073,0.0,0.9076370841446475,0.0,0.015186324412194871,0.0,41.0,0.0
zoo_3month,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,0.005,1,47,29247,0.425531914893617,0.0,0.11976047904191617,0.0,0.005026156528874756,0.0,0.971035567975548,0.0,0.19459808125472952,0.0,20.0,0.0
zoo_3month,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,0.01,1,47,29247,0.5319148936170213,0.0,0.07836990595611286,0.0,0.010052313057749512,0.0,0.971035567975548,0.0,0.19459808125472952,0.0,25.0,0.0
zoo_3month,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,0.02,1,47,29247,0.723404255319149,0.0,0.054838709677419356,0.0,0.020036243033473518,0.0,0.971035567975548,0.0,0.19459808125472952,0.0,34.0,0.0
zoo_3month,HGST_20HUH721212ALN604,mlp,tabular,in_horizon,0.04,1,47,29247,0.7872340425531915,0.0,0.030629139072847682,0.0,0.040038294525934284,0.0,0.971035567975548,0.0,0.19459808125472952,0.0,37.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tabresnet,tabular,in_horizon,0.005,1,47,29247,0.46808510638297873,0.0,0.1301775147928994,0.0,0.005026156528874756,0.0,0.9670994378468234,0.0,0.18395294597524078,0.0,22.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tabresnet,tabular,in_horizon,0.01,1,47,29247,0.5531914893617021,0.0,0.08125,0.0,0.010052313057749512,0.0,0.9670994378468234,0.0,0.18395294597524078,0.0,26.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tabresnet,tabular,in_horizon,0.02,1,47,29247,0.7021276595744681,0.0,0.05331179321486268,0.0,0.020036243033473518,0.0,0.9670994378468234,0.0,0.18395294597524078,0.0,33.0,0.0
zoo_3month,HGST_20HUH721212ALN604,tabresnet,tabular,in_horizon,0.04,1,47,29247,0.8085106382978723,0.0,0.03143093465674111,0.0,0.040038294525934284,0.0,0.9670994378468234,0.0,0.18395294597524078,0.0,38.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fttransformer,tabular,in_horizon,0.005,1,47,29247,0.44680851063829785,0.0,0.125,0.0,0.005026156528874756,0.0,0.9684872765580397,0.0,0.1553272580111407,0.0,21.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fttransformer,tabular,in_horizon,0.01,1,47,29247,0.5319148936170213,0.0,0.07836990595611286,0.0,0.010052313057749512,0.0,0.9684872765580397,0.0,0.1553272580111407,0.0,25.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fttransformer,tabular,in_horizon,0.02,1,47,29247,0.574468085106383,0.0,0.04404567699836868,0.0,0.020036243033473518,0.0,0.9684872765580397,0.0,0.1553272580111407,0.0,27.0,0.0
zoo_3month,HGST_20HUH721212ALN604,fttransformer,tabular,in_horizon,0.04,1,47,29247,0.7446808510638298,0.0,0.02902155887230514,0.0,0.040038294525934284,0.0,0.9684872765580397,0.0,0.1553272580111407,0.0,35.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gru,sequence,in_horizon,0.005,1,47,29247,0.3404255319148936,0.0,0.09815950920245399,0.0,0.005026156528874756,0.0,0.9541665390450439,0.0,0.1205907870659651,0.0,16.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gru,sequence,in_horizon,0.01,1,47,29247,0.574468085106383,0.0,0.08411214953271028,0.0,0.010052313057749512,0.0,0.9541665390450439,0.0,0.1205907870659651,0.0,27.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gru,sequence,in_horizon,0.02,1,47,29247,0.6595744680851063,0.0,0.050243111831442464,0.0,0.020036243033473518,0.0,0.9541665390450439,0.0,0.1205907870659651,0.0,31.0,0.0
zoo_3month,HGST_20HUH721212ALN604,gru,sequence,in_horizon,0.04,1,47,29247,0.8085106382978723,0.0,0.03143093465674111,0.0,0.040038294525934284,0.0,0.9541665390450439,0.0,0.1205907870659651,0.0,38.0,0.0
zoo_3month,HGST_20HUH721212ALN604,lstm,sequence,in_horizon,0.005,1,47,29247,0.3191489361702128,0.0,0.09259259259259259,0.0,0.005026156528874756,0.0,0.942845339936012,0.0,0.17605522704237334,0.0,15.0,0.0
