experiment,drive,model,family,rule,threshold_source,far_target,seed,n_months,n_failed_total,n_healthy_total,recall,recall_month_sd,precision,precision_month_sd,far,far_month_sd,roc_auc,roc_auc_month_sd,pr_auc,pr_auc_month_sd,tp,tp_month_sd
tos_select,TOSHIBA_20MG07ACA14TA,lightgbm,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.6902481299033023,0.07858484733263718,0.00991926909790048,0.0025136510118512214,0.05001253268975727,8.896797669911993e-06,0.8069954026200828,0.08907792747261178,0.13798627342023745,0.042532516111989695,18.666666666666668,4.760952285695233
tos_select,TOSHIBA_20MG07ACA14TA,mlp,tabular,in_horizon,month_quantile,0.001,42,6,162,223444,0.25510019461168887,0.07468510650822632,0.15557116566433338,0.057563700483293206,0.001020391968749649,1.5930254547893772e-06,0.8844773209601696,0.04619253122475798,0.09928525038167692,0.02298826328970561,7.166666666666667,2.9268868558020253
tos_select,TOSHIBA_20MG07ACA14TA,mlp,tabular,in_horizon,month_quantile,0.005,42,6,162,223444,0.6078209572462446,0.07903834133776769,0.0801897180254712,0.017477997628463873,0.005012436826396079,8.596209911323712e-06,0.8844773209601696,0.04619253122475798,0.09928525038167692,0.02298826328970561,16.333333333333332,3.8815804341359033
tos_select,TOSHIBA_20MG07ACA14TA,mlp,tabular,in_horizon,month_quantile,0.01,42,6,162,223444,0.6624977193942712,0.09060085772105436,0.04554973098364555,0.010535369063726182,0.01001145334860445,8.732894456429791e-06,0.8844773209601696,0.04619253122475798,0.09928525038167692,0.02298826328970561,17.833333333333332,4.3089055068157
tos_select,TOSHIBA_20MG07ACA14TA,mlp,tabular,in_horizon,month_quantile,0.05,42,6,162,223444,0.7658365261813538,0.060303356992212925,0.010969815868859121,0.0025044994085727684,0.05001253268975727,8.896797669911993e-06,0.8844773209601696,0.04619253122475798,0.09928525038167692,0.02298826328970561,20.666666666666668,4.760952285695233
tos_select,TOSHIBA_20MG07ACA14TA,lstm,sequence,in_horizon,month_quantile,0.001,42,6,162,223444,0.23583743842364532,0.07293106267261122,0.14335845231667754,0.05287324705130879,0.001020391968749649,1.5930254547893772e-06,0.9011182898484204,0.020686477972682055,0.10062415583542997,0.04343347322127296,6.5,2.7386127875258306
tos_select,TOSHIBA_20MG07ACA14TA,lstm,sequence,in_horizon,month_quantile,0.005,42,6,162,223444,0.4636942772000243,0.08595960326015423,0.06251715245485168,0.01692190431433662,0.005012436826396079,8.596209911323712e-06,0.9011182898484204,0.020686477972682055,0.10062415583542997,0.04343347322127296,12.5,3.6193922141707717
tos_select,TOSHIBA_20MG07ACA14TA,lstm,sequence,in_horizon,month_quantile,0.01,42,6,162,223444,0.6730067505929576,0.09295890844247845,0.04634763582897945,0.011384225925153832,0.01001145334860445,8.732894456429791e-06,0.9011182898484204,0.020686477972682055,0.10062415583542997,0.04343347322127296,18.166666666666668,4.665476038590989
tos_select,TOSHIBA_20MG07ACA14TA,lstm,sequence,in_horizon,month_quantile,0.05,42,6,162,223444,0.81772030651341,0.05220069241329986,0.011670387869168256,0.0023760038504363223,0.05001253268975727,8.896797669911993e-06,0.9011182898484204,0.020686477972682055,0.10062415583542997,0.04343347322127296,22.0,4.516635916254486
tos_select,TOSHIBA_20MG07ACA14TA,gru,sequence,in_horizon,month_quantile,0.001,42,6,162,223444,0.3084716900808855,0.08539112307169126,0.17661256795483288,0.05530846384619879,0.001020391968749649,1.5930254547893772e-06,0.9082220877745065,0.03211186146536534,0.14177530590267895,0.04974712623715875,8.333333333333334,3.265986323710904
tos_select,TOSHIBA_20MG07ACA14TA,gru,sequence,in_horizon,month_quantile,0.005,42,6,162,223444,0.5661542905795779,0.08411570259081376,0.07621901283830482,0.022518566209343893,0.005012436826396079,8.596209911323712e-06,0.9082220877745065,0.03211186146536534,0.14177530590267895,0.04974712623715875,15.5,4.929503017546495
tos_select,TOSHIBA_20MG07ACA14TA,gru,sequence,in_horizon,month_quantile,0.01,42,6,162,223444,0.7326065803077297,0.05282153592816254,0.05039662453923118,0.011209893129291451,0.01001145334860445,8.732894456429791e-06,0.9082220877745065,0.03211186146536534,0.14177530590267895,0.04974712623715875,19.833333333333332,4.622409184253019
tos_select,TOSHIBA_20MG07ACA14TA,gru,sequence,in_horizon,month_quantile,0.05,42,6,162,223444,0.8259145228972815,0.035118220984156505,0.011844277146383485,0.0026329495705889293,0.05001253268975727,8.896797669911993e-06,0.9082220877745065,0.03211186146536534,0.14177530590267895,0.04974712623715875,22.333333333333332,5.00666222813829
tos_select,TOSHIBA_20MG07ACA14TA,tcn,sequence,in_horizon,month_quantile,0.001,42,6,162,223444,0.27322036732956273,0.06500934602619975,0.16005598621877692,0.04131524916812679,0.001020391968749649,1.5930254547893772e-06,0.881837817632773,0.040148596187094716,0.1365909582363019,0.04921163054136956,7.333333333333333,2.250925735484551
tos_select,TOSHIBA_20MG07ACA14TA,tcn,sequence,in_horizon,month_quantile,0.005,42,6,162,223444,0.5698800401386608,0.10304054001617487,0.07623909630848234,0.021889288954816174,0.005012436826396079,8.596209911323712e-06,0.881837817632773,0.040148596187094716,0.1365909582363019,0.04921163054136956,15.5,4.764451699828638
tos_select,TOSHIBA_20MG07ACA14TA,tcn,sequence,in_horizon,month_quantile,0.01,42,6,162,223444,0.68633765128018,0.0974504682820649,0.047162916440976956,0.011121766454460044,0.01001145334860445,8.732894456429791e-06,0.881837817632773,0.040148596187094716,0.1365909582363019,0.04921163054136956,18.5,4.54972526643093
tos_select,TOSHIBA_20MG07ACA14TA,tcn,sequence,in_horizon,month_quantile,0.05,42,6,162,223444,0.8036991424922459,0.04348038215671384,0.011495383921275476,0.0023924666360922056,0.05001253268975727,8.896797669911993e-06,0.881837817632773,0.040148596187094716,0.1365909582363019,0.04921163054136956,21.666666666666668,4.546060565661952
