experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,far_target,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.01,14,9724,11,3,98,9626,0.7857142857142857,0.10091743119266056,0.010078157136980667,0.9643297878591996,0.06624201639068622
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.02,14,9724,11,3,195,9529,0.7857142857142857,0.05339805825242718,0.020053475935828877,0.9643297878591996,0.06624201639068622
zoo_3month,HGST_20HUH721212ALN604,randomforest,tabular,46,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.04,14,9724,11,3,389,9335,0.7857142857142857,0.0275,0.0400041135335253,0.9643297878591996,0.06624201639068622
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.005,16,9782,8,8,49,9733,0.5,0.14035087719298245,0.005009200572480065,0.9736378041300346,0.16416789556861816
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.01,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.9736378041300346,0.16416789556861816
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.02,16,9782,11,5,196,9586,0.6875,0.05314009661835749,0.02003680228992026,0.9736378041300346,0.16416789556861816
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.04,16,9782,13,3,392,9390,0.8125,0.03209876543209877,0.04007360457984052,0.9736378041300346,0.16416789556861816
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.005,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9773003134114748,0.22467851466850114
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.01,17,9741,11,6,98,9643,0.6470588235294118,0.10091743119266056,0.010060568730109845,0.9773003134114748,0.22467851466850114
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.02,17,9741,12,5,195,9546,0.7058823529411765,0.057971014492753624,0.02001847859562673,0.9773003134114748,0.22467851466850114
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.04,17,9741,14,3,390,9351,0.8235294117647058,0.034653465346534656,0.04003695719125346,0.9773003134114748,0.22467851466850114
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.005,14,9724,2,12,49,9675,0.14285714285714285,0.0392156862745098,0.005039078568490334,0.972226303108656,0.07544659160093371
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.01,14,9724,8,6,98,9626,0.5714285714285714,0.07547169811320754,0.010078157136980667,0.972226303108656,0.07544659160093371
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.02,14,9724,11,3,195,9529,0.7857142857142857,0.05339805825242718,0.020053475935828877,0.972226303108656,0.07544659160093371
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,42,2026-02,2018-08-01,2025-12-31,in_horizon,10,0.04,14,9724,11,3,389,9335,0.7857142857142857,0.0275,0.0400041135335253,0.972226303108656,0.07544659160093371
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.005,16,9782,9,7,49,9733,0.5625,0.15517241379310345,0.005009200572480065,0.9740339398895932,0.2688390720246046
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.01,16,9782,11,5,98,9684,0.6875,0.10091743119266056,0.01001840114496013,0.9740339398895932,0.2688390720246046
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.02,16,9782,12,4,196,9586,0.75,0.057692307692307696,0.02003680228992026,0.9740339398895932,0.2688390720246046
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2025-12,2018-08-01,2025-10-30,in_horizon,10,0.04,16,9782,14,2,392,9390,0.875,0.034482758620689655,0.04007360457984052,0.9740339398895932,0.2688390720246046
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.005,17,9741,8,9,49,9692,0.47058823529411764,0.14035087719298245,0.005030284365054922,0.9576079276798493,0.17420948247206805
zoo_3month,HGST_20HUH721212ALN604,xgboost,tabular,43,2026-01,2018-08-01,2025-11-30,in_horizon,10,0.01,17,9741,8,9,98,9643,0.47058823529411764,0.07547169811320754,0.010060568730109845,0.9576079276798493,0.17420948247206805
