trial,recall_mean,recall_sd,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,robust
67,0.6086956521739131,,4,0.018797680443579996,8.10983942189125,0.6949816195510254,0.9397333505105256,23.755697876446554,3.363754415525204,0.0013936538812321625,0.6086956521739131
56,0.6086956521739131,0.05324977701702562,5,0.027297811817237075,6.152535858690856,0.7701138491287939,0.8576562368196604,0.11186748587915557,0.5411719230520899,0.00769246206882893,0.5554458751568875
48,0.6086956521739131,,3,0.05246393341914203,13.053298144719246,0.5979961389067621,0.9044352510468403,0.18442708844385855,2.273665928988871,0.00496424929770448,0.6086956521739131
35,0.6086956521739131,,3,0.04556347210378697,6.930293481692765,0.7962281483714335,0.9887970803127825,85.75262138959037,0.19966379896274497,0.0018529868708903525,0.6086956521739131
7,0.608695652173913,0.043478260869565244,8,0.023666956347875266,6.197949249293538,0.6222127960008014,0.49538175018731184,0.027637615125314263,0.4220057397195018,0.003570522756718293,0.5652173913043477
1,0.6,0.019444069369563426,10,0.036845938035010996,22.13691468878238,0.7644474598764522,0.7408267366563595,50.39489598671216,0.0019237305096546497,0.002231090560744304,0.5805559306304365
20,0.6,0.03637652289278592,4,0.021050916088262806,4.810179031064004,0.6001536805970771,0.9196889999158855,0.08539704643994868,1.1749842161241015,0.02112845444881399,0.563623477107214
10,0.6,0.019444069369563426,7,0.012026739897543609,1.0846400267945808,0.8613550890400377,0.4166336159487814,0.34297289151776084,2.58913806479318,0.06906131902657278,0.5805559306304365
5,0.5913043478260869,0.023814024239355094,5,0.04421291893432151,15.319848692144674,0.5301127358146349,0.8000600292674006,4.814503186400563,0.0069427294924301495,0.0032787264983352763,0.5674903235867318
39,0.5869565217391304,,3,0.02341778808674315,5.618394418069827,0.7280453080260821,0.9047702195279274,0.017169468880490396,5.715619558180427,0.0026843532076345107,0.5869565217391304
30,0.5869565217391304,,5,0.04675241048100577,11.766591059008931,0.5007184222587825,0.7940046954971377,0.042687732117087804,4.333190335254254,0.006118762866080663,0.5869565217391304
47,0.5869565217391304,,4,0.041696325360900566,7.455112364519089,0.6252670816495322,0.7953400911611332,0.8106677966684189,0.10236405308662587,0.14410975990053745,0.5869565217391304
71,0.5869565217391304,,4,0.01695418624393087,5.8191737337763145,0.6862989449880759,0.7479810961746393,0.06472502031785667,0.695564678687068,0.001909029801389338,0.5869565217391304
45,0.5869565217391304,,9,0.01220250068471919,4.708457095761493,0.7389030939605556,0.6839775416534343,0.4286577191415686,1.8204631052922227,0.003146806687120119,0.5869565217391304
38,0.5869565217391304,,5,0.03946554790840367,1.5192050759550477,0.6813948763325198,0.9954912868079494,0.040477072085325375,1.7165481936165365,0.005211430115649214,0.5869565217391304
64,0.5797101449275363,,3,0.2724905232624742,4.071278374935909,0.6170140201771316,0.9726322808567652,0.031005098767171033,0.005031471117460278,0.0033899260653715503,0.5797101449275363
6,0.5739130434782608,0.019444069369563426,5,0.03445441737078129,9.305660617049123,0.7193007567311602,0.9930243028355357,0.02559642090152667,0.006847105576684045,0.004418125737902547,0.5544689741086973
61,0.5652173913043479,,4,0.02464925689390366,3.6124045381212637,0.6987715405816958,0.9511849877802601,0.010375798181375418,0.6845811187773542,0.0022285254757168148,0.5652173913043479
0,0.5652173913043478,0.05324977701702562,7,0.11387317092169064,10.570046446158269,0.7724415914984484,0.6541928796033428,3.833332156156665,0.0562793204741517,3.6905577292137624,0.5119676142873222
59,0.5652173913043478,,3,0.016105323417996732,3.8109927848953316,0.6528537643582182,0.5820210375350332,4.621551099343246,0.8495880479525845,0.0013427015641356563,0.5652173913043478
60,0.5652173913043478,,4,0.031289828607598054,40.898012936401805,0.5947157407322466,0.9723216482150263,0.013364787087871604,0.2236495510389951,0.001023244387751342,0.5652173913043478
2,0.5478260869565217,0.023814024239355035,3,0.16977763163336626,20.99253947579213,0.9350060741234096,0.9871710053396584,15.726578854179516,0.07013219779945795,1.324697464746845,0.5240120627171666
9,0.5217391304347826,,10,0.07824023983213262,18.029623041104198,0.5195938961271603,0.5696841775458458,0.03025423979924896,0.015295398277813725,0.002984770033451216,0.5217391304347826
17,0.5217391304347826,,5,0.014061084440261228,47.31701987935505,0.6684542300253697,0.8408085841583973,0.10280380002168145,0.08120186465974459,5.366873393959945,0.5217391304347826
58,0.5217391304347826,,7,0.019595795393890624,3.048825011732618,0.6815615523784719,0.8934518807412284,0.07064325919059582,0.024511620127634054,0.024529393496238543,0.5217391304347826
11,0.5,,3,0.2938591390403983,1.1457181096107627,0.9925727576308429,0.7524902042985281,0.5420252893215023,0.4111690212677997,0.4472106751666063,0.5
14,0.4782608695652174,,8,0.16113834650172104,3.3065514311019397,0.8676496872090057,0.9005265006454635,1.2261523675002783,0.27844458840380376,0.32214467259605817,0.4782608695652174
53,0.45652173913043476,,4,0.1150824094571943,2.2392424509016355,0.70986671715159,0.9666548107377501,0.05666219994269654,0.31438527446080855,0.001460090367036006,0.45652173913043476
