experiment,drive,model,family,seed,test_month,train_start,train_end,rule,horizon_days,threshold_source,far_target,threshold,n_failed,n_healthy,tp,fn,fp,tn,recall,precision,far,roc_auc,pr_auc,arm
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1099065585806965,16,9782,7,9,49,9733,0.4375,0.125,0.00500920057248,0.9612489777141688,0.1853385588096287,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.0494870754331351,16,9782,11,5,98,9684,0.6875,0.1009174311926605,0.0100184011449601,0.9612489777141688,0.1853385588096287,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0043195070698857,16,9782,15,1,490,9292,0.9375,0.0297029702970297,0.0500920057248006,0.9612489777141688,0.1853385588096287,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2776538252830525,17,9741,5,12,10,9731,0.2941176470588235,0.3333333333333333,0.0010265886459295,0.9363031938984404,0.2059969719931782,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1061801575124235,17,9741,10,7,49,9692,0.5882352941176471,0.1694915254237288,0.0050302843650549,0.9363031938984404,0.2059969719931782,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.0472394689917566,17,9741,10,7,98,9643,0.5882352941176471,0.0925925925925925,0.0100605687301098,0.9363031938984404,0.2059969719931782,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-01,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0041767307557165,17,9741,13,4,488,9253,0.7647058823529411,0.0259481037924151,0.0500975259213633,0.9363031938984404,0.2059969719931782,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.2932148056924343,14,9724,2,12,10,9714,0.1428571428571428,0.1666666666666666,0.0010283833813245,0.9682853910795088,0.0743759962354611,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.005,0.1236784030869606,14,9724,4,10,49,9675,0.2857142857142857,0.0754716981132075,0.0050390785684903,0.9682853910795088,0.0743759962354611,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.01,0.0627290860563517,14,9724,7,7,98,9626,0.5,0.0666666666666666,0.0100781571369806,0.9682853910795088,0.0743759962354611,match_val
imb_match_val,HGST_20HUH721212ALN604,mlp,tabular,42,2026-02,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.05,0.0041124698007479,14,9724,11,3,487,9237,0.7857142857142857,0.0220883534136546,0.0500822706705059,0.9682853910795088,0.0743759962354611,match_val
imb_none,HGST_20HUH721212ALN604,mlp,tabular,42,2025-12,2018-08-01,2025-10-30,in_horizon,10,month_quantile,0.001,0.1636289915293452,16,9782,5,11,10,9772,0.3125,0.3333333333333333,0.0010222858311183,0.975688765078716,0.3395437942656194,none
