trial,pauc,recall01,width,depth,dropout,learning_rate,weight_decay,batch_size
29,0.891629131712639,0.7571428571428571,128,3,0.30784407618039683,0.0002980736512059246,8.769685208241065e-05,2048
22,0.891279125741949,0.7714285714285715,128,2,0.29699176182892223,0.0005390858530013509,1.4992070443531006e-05,4096
26,0.8912742236975415,0.7714285714285715,64,3,0.3470084220229794,0.0008051497783528996,2.043404375950427e-05,4096
44,0.8909863756499377,0.7714285714285715,128,2,0.15919299820902996,0.006480358601192385,5.379815152581299e-06,4096
3,0.8906702918265468,0.7714285714285715,256,3,0.4718740392573121,0.0023101522250182378,2.7417736752420992e-05,2048
13,0.8905913114012756,0.7714285714285715,64,3,0.41306920777773876,0.00032525123678528125,6.704835682836141e-06,2048
4,0.8904912691647877,0.7571428571428571,128,2,0.1818553854713113,0.0013816356822574799,5.680754927416792e-05,1024
23,0.8904408761482794,0.7714285714285715,128,2,0.1962681342564908,0.00011397036727021082,3.4685058079965206e-06,4096
33,0.8902487160075084,0.7714285714285715,128,2,0.45549897885805,0.0005264961328377859,0.00964121311515634,4096
27,0.8899549855066156,0.7428571428571429,512,2,0.44492921145327435,0.002246996952750833,6.828282853140065e-06,4096
24,0.8899212594410925,0.7714285714285715,128,2,0.13509175993503905,0.0010734402509036784,7.873894930050502e-06,4096
17,0.8898020417211039,0.7714285714285715,64,2,0.293381979608947,0.00019137099687362955,1.0580859744637094e-05,4096
10,0.8895055660753428,0.7714285714285715,64,4,0.3452655392360395,0.00010967097042542117,1.290894567014997e-06,4096
19,0.8893202687967423,0.7714285714285715,128,2,0.42464093280887827,0.00022154898433825298,2.317429828593789e-05,1024
0,0.8892275221165538,0.7714285714285715,128,3,0.32294705653332806,0.0007501954443620128,0.0036905577292137633,1024
30,0.8890383032024272,0.7571428571428571,128,3,0.33951988153562185,0.0006523470138188981,4.456921223470088e-06,1024
48,0.8882388778004644,0.7571428571428571,256,2,0.4776185587995139,0.0012822393347508777,3.832382895860307e-05,2048
18,0.8879192645051004,0.7571428571428571,512,3,0.37084457843458163,0.0007698211481546371,2.6524974647595375e-06,2048
1,0.8872353312693767,0.7428571428571429,256,2,0.01010919872016286,0.0046263628414755864,0.0012960656597279737,2048
34,0.8871737615916193,0.7714285714285715,256,2,0.4939835897684004,0.0008795457859662765,0.0015283731398556184,4096
9,0.8863490416405142,0.7571428571428571,512,4,0.12437657175997902,0.0014200860749035516,0.00023343594208268865,4096
40,0.8855423612128286,0.7571428571428571,512,2,0.3632649077915055,0.00038213622477885275,0.001936657244234586,2048
6,0.8841486119469096,0.7571428571428571,256,4,0.2343256008238508,0.00898508471940606,0.0002626528266326433,1024
49,0.8836505642351153,0.7714285714285715,128,4,0.4334586270957338,0.0006511723491381236,1.096217890690647e-06,2048
7,0.8807167886981602,0.7714285714285715,512,3,0.03207374817439218,0.00242629855036858,0.00018467402585753705,2048
