experiment, drive                 , model       , family  , rule      , far_target, n_seeds, n_failed_pooled, n_healthy_pooled, recall_mean        , recall_sd           , precision_mean      , precision_sd          , far_mean             , far_sd                , roc_auc_mean      , roc_auc_sd           , pr_auc_mean        , pr_auc_sd           , tp_mean, tp_sd
zoo_3month, HGST_20HUH721212ALN604, lightgbm    , tabular , in_horizon,      0.02 ,       5,              47,            29247, 0.6723404255319149 , 0.017021276595744705, 0.05109761480936213 , 0.001201261324373595  , 0.02006359626628372  , 5.470646562040632e-05 , 0.9644833342276202, 0.004875121208551853 , 0.14174753136397894, 0.031217900322058137,    31.6, 0.8
zoo_3month, HGST_20HUH721212ALN604, lightgbm    , tabular , in_horizon,      0.04 ,       5,              47,            29247, 0.8                , 0.017021276595744657, 0.031069649868012306, 0.0006753500713053552 , 0.04009300099155469  , 0.00010941293124080986, 0.9644833342276202, 0.004875121208551853 , 0.14174753136397894, 0.031217900322058137,    37.6, 0.8
zoo_3month, HGST_20HUH721212ALN604, transformer , sequence, in_horizon,      0.005,       5,              47,            29247, 0.42127659574468085, 0.03127008182276398 , 0.11863681730688218 , 0.007742480271670594  , 0.005026156528874756 , 0.0                   , 0.9596768207114899, 0.005999893813837954 , 0.173481541156954  , 0.01937759529645196 ,    19.8, 1.469693845669907
zoo_3month, HGST_20HUH721212ALN604, transformer , sequence, in_horizon,      0.01 ,       5,              47,            29247, 0.5531914893617021 , 0.026913001363135146, 0.08123564397046759 , 0.0036318626784656327 , 0.010052313057749512 , 0.0                   , 0.9596768207114899, 0.005999893813837954 , 0.173481541156954  , 0.01937759529645196 ,    26.0, 1.2649110640673518
zoo_3month, HGST_20HUH721212ALN604, transformer , sequence, in_horizon,      0.02 ,       5,              47,            29247, 0.6851063829787234 , 0.015921946326697647, 0.052085313762265925, 0.0011479306329290613 , 0.020036243033473518 , 0.0                   , 0.9596768207114899, 0.005999893813837954 , 0.173481541156954  , 0.01937759529645196 ,    32.2, 0.7483314773547883
zoo_3month, HGST_20HUH721212ALN604, transformer , sequence, in_horizon,      0.04 ,       5,              47,            29247, 0.7872340425531915 , 0.03008965026325734 , 0.030627810494715815, 0.0011348520448888307 , 0.040038294525934284 , 0.0                   , 0.9596768207114899, 0.005999893813837954 , 0.173481541156954  , 0.01937759529645196 ,    37.0, 1.4142135623730951
zoo_3month, HGST_20HUH721212ALN604, tabresnet   , tabular , in_horizon,      0.005,       5,              47,            29247, 0.4595744680851064 , 0.021697955376990572, 0.12808192525495476 , 0.005282867412256946  , 0.005026156528874756 , 0.0                   , 0.9635927902516274, 0.005444982884738828 , 0.1727341866500163 , 0.00666664872403086 ,    21.6, 1.019803902718557
zoo_3month, HGST_20HUH721212ALN604, tabresnet   , tabular , in_horizon,      0.01 ,       5,              47,            29247, 0.5617021276595745 , 0.03184389265339525 , 0.08237704863573643 , 0.0042719430558417005 , 0.010052313057749512 , 0.0                   , 0.9635927902516274, 0.005444982884738828 , 0.1727341866500163 , 0.00666664872403086 ,    26.4, 1.4966629547095767
zoo_3month, HGST_20HUH721212ALN604, tabresnet   , tabular , in_horizon,      0.02 ,       5,              47,            29247, 0.6978723404255319 , 0.015921946326697647, 0.053004433331461306, 0.0011447533262104086 , 0.020036243033473518 , 0.0                   , 0.9635927902516274, 0.005444982884738828 , 0.1727341866500163 , 0.00666664872403086 ,    32.8, 0.7483314773547883
zoo_3month, HGST_20HUH721212ALN604, tabresnet   , tabular , in_horizon,      0.04 ,       5,              47,            29247, 0.7787234042553192 , 0.017021276595744667, 0.03030762369372223 , 0.0006420343778392702 , 0.040038294525934284 , 0.0                   , 0.9635927902516274, 0.005444982884738828 , 0.1727341866500163 , 0.00666664872403086 ,    36.6, 0.8
zoo_3month, HGST_20HUH721212ALN604, gru         , sequence, in_horizon,      0.005,       5,              47,            29247, 0.33191489361702126, 0.07683178759688421 , 0.09549395416948717 , 0.020129268198692908  , 0.005026156528874756 , 0.0                   , 0.9462627235386945, 0.011618314474873617 , 0.10029223344958454, 0.024598709439775282,    15.6, 3.6110940170535577
zoo_3month, HGST_20HUH721212ALN604, gru         , sequence, in_horizon,      0.01 ,       5,              47,            29247, 0.5106382978723404 , 0.04851810319570801 , 0.07542394384623236 , 0.006659631799990654  , 0.010052313057749512 , 0.0                   , 0.9462627235386945, 0.011618314474873617 , 0.10029223344958454, 0.024598709439775282,    24.0, 2.280350850198276
zoo_3month, HGST_20HUH721212ALN604, gru         , sequence, in_horizon,      0.02 ,       5,              47,            29247, 0.6553191489361702 , 0.0159219463266976  , 0.04993375126811265 , 0.0011521876550949002 , 0.020036243033473518 , 0.0                   , 0.9462627235386945, 0.011618314474873617 , 0.10029223344958454, 0.024598709439775282,    30.8, 0.7483314773547883
zoo_3month, HGST_20HUH721212ALN604, gru         , sequence, in_horizon,      0.04 ,       5,              47,            29247, 0.7829787234042553 , 0.036605639434223916, 0.03046665224722574 , 0.001381846040525583  , 0.040038294525934284 , 0.0                   , 0.9462627235386945, 0.011618314474873617 , 0.10029223344958454, 0.024598709439775282,    36.8, 1.7204650534085253
zoo_3month, HGST_20HUH721212ALN604, cnn1d       , sequence, in_horizon,      0.005,       5,              47,            29247, 0.37872340425531914, 0.03660563943422393 , 0.10791206972721698 , 0.00935307846968152   , 0.005026156528874756 , 0.0                   , 0.9505267795134344, 0.004447195804402067 , 0.1438632690780393 , 0.012603051747513147,    17.8, 1.7204650534085253
zoo_3month, HGST_20HUH721212ALN604, cnn1d       , sequence, in_horizon,      0.01 ,       5,              47,            29247, 0.5404255319148936 , 0.025531914893617058, 0.07951110915182508 , 0.0034597901216137255 , 0.010052313057749512 , 0.0                   , 0.9505267795134344, 0.004447195804402067 , 0.1438632690780393 , 0.012603051747513147,    25.4, 1.2
zoo_3month, HGST_20HUH721212ALN604, cnn1d       , sequence, in_horizon,      0.02 ,       5,              47,            29247, 0.6851063829787234 , 0.015921946326697647, 0.052085313762265925, 0.0011479306329290613 , 0.020036243033473518 , 0.0                   , 0.9505267795134344, 0.004447195804402067 , 0.1438632690780393 , 0.012603051747513147,    32.2, 0.7483314773547883
zoo_3month, HGST_20HUH721212ALN604, cnn1d       , sequence, in_horizon,      0.04 ,       5,              47,            29247, 0.7872340425531915 , 0.026913001363135146, 0.030628076209905174, 0.0010150432918533895 , 0.040038294525934284 , 0.0                   , 0.9505267795134344, 0.004447195804402067 , 0.1438632690780393 , 0.012603051747513147,    37.0, 1.2649110640673518
zoo_3month, HGST_20HUH721212ALN604, autoencoder , tabular , in_horizon,      0.005,       5,              47,            29247, 0.2127659574468085 , 0.01903036576595566 , 0.06366387784593057 , 0.005334361022728112  , 0.005026156528874756 , 0.0                   , 0.9202289857311198, 0.00646897024996665  , 0.09389939180286726, 0.025498057345836166,    10.0, 0.8944271909999159
zoo_3month, HGST_20HUH721212ALN604, autoencoder , tabular , in_horizon,      0.01 ,       5,              47,            29247, 0.3404255319148936 , 0.0922531208028885  , 0.05142991722728977 , 0.013083418788370878  , 0.010052313057749512 , 0.0                   , 0.9202289857311198, 0.00646897024996665  , 0.09389939180286726, 0.025498057345836166,    16.0, 4.33589667773576
zoo_3month, HGST_20HUH721212ALN604, autoencoder , tabular , in_horizon,      0.02 ,       5,              47,            29247, 0.4                , 0.12651973401973196 , 0.030991665091785907, 0.00945813574838991   , 0.020036243033473518 , 0.0                   , 0.9202289857311198, 0.00646897024996665  , 0.09389939180286726, 0.025498057345836166,    18.8, 5.946427498927402
zoo_3month, HGST_20HUH721212ALN604, autoencoder , tabular , in_horizon,      0.04 ,       5,              47,            29247, 0.548936170212766  , 0.08118631501420813 , 0.02154755616821782 , 0.003114666963019883  , 0.040038294525934284 , 0.0                   , 0.9202289857311198, 0.00646897024996665  , 0.09389939180286726, 0.025498057345836166,    25.8, 3.8157568056677826
