trial,pauc,recall01,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda
25,0.8872098082309147,0.7623355263157895,0.04739591453417821,7,3,0.9288404759266955,0.7593990693812617,3.6748574326713657
27,0.886986493558669,0.7491776315789473,0.027134447169081474,6,2,0.9999863489776395,0.5398730594645689,0.5779538158785438
13,0.8856220470033431,0.7491776315789473,0.018646013977042478,3,2,0.9833889731679984,0.8053319758532294,0.0010161146808222758
19,0.8855290319829083,0.7648026315789473,0.0102344161607778,9,2,0.5647430621866903,0.5649362168436803,0.5346508208362962
7,0.8839844089018376,0.7648026315789473,0.10727187395229411,3,11,0.8353189348090797,0.6051912805369204,0.0032787264983352763
26,0.8835953526791231,0.7935855263157895,0.014421419242447534,10,1,0.8683252121848787,0.6329665956618301,0.027089805260081316
29,0.8834963363158832,0.7516447368421053,0.055704559871491324,8,5,0.807665778866181,0.7244218691081055,0.1818761802688155
38,0.8833540216959939,0.7360197368421053,0.01135467714914856,6,5,0.7452634009756671,0.9402267395895723,0.421549046101644
11,0.8832584385083547,0.7648026315789473,0.012003208654361677,4,3,0.5901584359928742,0.8015547113943627,0.016670048090211713
3,0.8824971364638632,0.7779605263157895,0.1410690937355148,9,46,0.8995792821083618,0.7307396811264659,1.324697464746845
28,0.882191630087612,0.7360197368421053,0.03838210968199167,9,1,0.8006010380164281,0.5910116658460316,0.07605447796006837
15,0.8810822818084267,0.7491776315789473,0.030966536510206075,5,2,0.6761152088202647,0.7759690126922804,0.006542584435324194
10,0.8806833913368626,0.7779605263157895,0.010716093154162982,6,1,0.964820177513915,0.8441903912418417,0.0214703932063153
1,0.879895615451388,0.696546052631579,0.04429649570464297,10,43,0.6917207594128889,0.8958625190413323,0.13049073550362397
23,0.8796432979147952,0.7648026315789473,0.02280492536038754,9,2,0.9198484405239373,0.5548918978113473,9.341641619615993
5,0.8784877735005149,0.7516447368421053,0.024591256383397347,9,4,0.7842169744343243,0.5093949002181776,0.2954894558726685
46,0.8757597698438602,0.7648026315789473,0.021661551162242245,5,7,0.6089737585255088,0.8263015022574843,0.8292805103013344
49,0.8749898987410203,0.709703947368421,0.01341631213552828,8,35,0.6436577328406026,0.9282289203502835,0.4534995001051128
14,0.8727328431215885,0.709703947368421,0.017318428667592922,7,18,0.5077207784137353,0.9179075986967153,0.049198474897443945
20,0.8684410954393897,0.7648026315789473,0.035654891573053765,7,1,0.7414278023291071,0.6760794814161915,0.04627985463064878
8,0.8633728433575576,0.709703947368421,0.029236536416560464,5,7,0.7193007567311602,0.9941869190296131,0.0025596420901526653
2,0.8564815019059036,0.7384868421052632,0.06903521707993515,10,1,0.5435646498507704,0.5101091987201629,2.1403233140986067
12,0.8405694433954147,0.709703947368421,0.2991999458627152,6,17,0.6398471671653008,0.6290402306024396,0.013371132352990216
24,0.7141373326224661,0.4317434210526316,0.18950101660969973,8,1,0.993490838413738,0.6898196338404572,0.22849440465717108
