serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AGMHTLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009607368265278637,,2019-05-04,,0.121
2AGMHU7Y,1,0,,2024-07-08,,Missed,0,0,0,0,1,0,0.012914021499454975,,2019-05-04,,0.121
2AGMHVTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0010230585467070341,,2019-05-16,,0.121
2AGMHWAY,1,1,2023-03-22,2023-09-22,184.0,Early,0,1,0,1,0,0,0.16901810467243195,0.1367260068655014,2019-08-14,1316.0,0.121
2AGMHXDY,1,1,2025-06-02,2025-06-02,0.0,On time,1,0,0,0,0,0,0.1356794834136963,0.1356794834136963,2019-08-13,2120.0,0.121
2AGMHY3Y,1,0,,2025-11-18,,Missed,0,0,0,0,1,0,0.011531769298017025,,2019-08-14,,0.121
2AGMHY5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011800044449046254,,2019-08-13,,0.121
2AGMJ35Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0012138983001932502,,2019-05-04,,0.121
2AGMJ3JY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011178154963999987,,2019-05-16,,0.121
2AGMJ3TY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008961278363130987,,2019-08-14,,0.121
2AGMJ47Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008444504346698523,,2019-06-01,,0.121
2AGMJ5BY,1,0,,2021-05-03,,Missed,0,0,0,0,1,0,0.00011372425069566816,,2019-05-04,,0.121
2AGMKV4Y,1,1,2025-12-12,2026-01-28,47.0,Early,0,1,0,1,0,0,0.5828220844268799,0.12814384698867798,2019-05-04,2414.0,0.121
2AGMKVHY,1,0,,2023-05-06,,Missed,0,0,0,0,1,0,0.09436721354722977,,2019-08-13,,0.121
2AGMKVTY,1,0,,2024-12-04,,Missed,0,0,0,0,1,0,0.06399057805538177,,2019-08-14,,0.121
2AGMLMLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.03540176525712013,,2019-08-14,,0.121
