serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AGGZNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002649103136013115,,2019-05-27,,0.986
2AGH31BY,1,0,,2023-11-01,,Missed,0,0,0,0,1,0,0.03884288753485638,,2019-05-27,,0.986
2AGH31PY,1,0,,2024-11-18,,Missed,0,0,0,0,1,0,0.6064437402179613,,2019-05-27,,0.986
2AGH33SY,1,1,2025-03-01,2025-05-08,68.0,Early,0,1,0,1,0,0,1.0,0.9999999942276407,2019-05-27,2105.0,0.986
2AGH34HY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.09581115949428927,,2019-05-27,,0.986
2AGH34PY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGH35GY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHB9XY,1,0,,2024-12-02,,Missed,0,0,0,0,1,0,0.06886144715574836,,2019-05-27,,0.986
2AGHDYHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011637358628783792,,2019-05-27,,0.986
2AGHEP9Y,1,0,,2024-07-26,,Missed,0,0,0,0,1,0,0.030018627872971434,,2019-05-27,,0.986
2AGHGR1Y,0,1,2022-04-07,,,Censored Early,0,0,1,1,0,0,0.9908539951703169,0.9908539951703169,2019-05-27,1046.0,0.986
2AGHGRLY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011233432012599,,2019-05-27,,0.986
2AGHGRRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHJD4Y,0,1,2026-02-18,,,Censored Early,0,0,1,1,0,0,0.9995429344232091,0.9995247591670232,2019-06-01,2454.0,0.986
2AGHK55Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHK8MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011233432012599,,2019-05-27,,0.986
2AGHLEUY,1,0,,2023-11-06,,Missed,0,0,0,0,1,0,0.010804320819976598,,2019-05-27,,0.986
2AGHLGTY,1,0,,2025-08-05,,Missed,0,0,0,0,1,0,0.6259848585826014,,2019-05-27,,0.986
2AGHLKHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHLMXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHLN0Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHMUTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHMUYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-06-01,,0.986
2AGHMW5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.020028272492197404,,2019-05-27,,0.986
2AGHMXGY,1,0,,2023-05-14,,Missed,0,0,0,0,1,0,0.00912120195837558,,2019-05-27,,0.986
2AGHMYTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.028853334123419592,,2019-05-27,,0.986
2AGHMZMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.002649103136013115,,2019-05-27,,0.986
2AGHN0TY,1,1,2020-09-15,2020-10-22,37.0,Early,0,1,0,1,0,0,0.999999999999998,0.9999993864299291,2019-05-27,477.0,0.986
2AGHN0WY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHN16Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHN2AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHN3XY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHPDKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHSJ4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHSS9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGHTBYY,1,1,2024-08-28,2025-01-25,150.0,Early,0,1,0,1,0,0,1.0,1.0,2019-05-27,1920.0,0.986
2AGHTGEY,1,0,,2023-03-14,,Missed,0,0,0,0,1,0,0.6297400403893069,,2019-05-27,,0.986
2AGHTKBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007552180255505733,,2019-05-27,,0.986
2AGLY65Y,1,0,,2023-11-20,,Missed,0,0,0,0,1,0,0.030018627872971434,,2019-08-13,,0.986
2AGM231Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-04,,0.986
2AGM23NY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-04,,0.986
2AGM5UVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.16438478229229703,,2019-05-16,,0.986
2AGM5V7Y,1,0,,2025-12-05,,Missed,0,0,0,0,1,0,0.7096483910239056,,2019-05-16,,0.986
2AGM5VBY,0,1,2026-02-09,,,Censored Early,0,0,1,1,0,0,0.9999571225898969,0.9999571225898969,2019-05-16,2461.0,0.986
2AGM5VHY,1,0,,2025-01-18,,Missed,0,0,0,0,1,0,0.030816067864854493,,2019-08-14,,0.986
2AGM5W9Y,1,0,,2025-01-16,,Missed,0,0,0,0,1,0,0.028086093164112733,,2019-05-16,,0.986
2AGM5YEY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.008945508635390953,,2019-05-04,,0.986
2AGM8EMY,1,0,,2024-10-29,,Missed,0,0,0,0,1,0,0.06446597208945602,,2019-05-16,,0.986
2AGM8EUY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-27,,0.986
2AGM8J2Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-16,,0.986
2AGM8JAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-16,,0.986
2AGM8LNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.6947568017458237,,2019-05-04,,0.986
2AGM8RJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.024148308432587716,,2019-08-13,,0.986
2AGM8RTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.9740827987622008,,2019-05-16,,0.986
2AGM8UNY,1,0,,2026-03-12,,Missed,0,0,0,0,1,0,0.17896147560072828,,2019-08-13,,0.986
2AGM8V7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009006334238282138,,2019-05-16,,0.986
