ds,model,seed,budget,crit,thr,row_rec,row_far,OT,E,M,CE,CN,recall,precision,far,mlt
HGST,LGBM,57,0.005,row,0.046,0.3173198482932996,0.005041915604271534,23,86,53,55,922,0.1419753086419753,0.1402439024390244,0.05629477993858751,162.0
HGST,LGBM,57,0.01,row,0.029,0.4538558786346397,0.00998673378181305,20,102,40,73,904,0.12345679012345678,0.10256410256410256,0.07471852610030706,246.0
HGST,LGBM,57,0.01,op,0.971,0.04361567635903919,0.00034209907324646,17,15,130,10,967,0.10493827160493827,0.40476190476190477,0.01023541453428864,19.5
HGST,LGBM,57,0.02,row,0.013000000000000001,0.5608933839022334,0.01897878345956626,18,110,34,103,874,0.1111111111111111,0.07792207792207792,0.10542476970317298,259.5
HGST,LGBM,57,0.02,op,0.518,0.07437842393594606,0.00085167239027144,19,43,100,26,951,0.11728395061728394,0.2159090909090909,0.02661207778915046,95.0
HGST,LGBM,57,0.05,row,0.005,0.7793931731984829,0.05277358046761067,16,133,13,165,812,0.09876543209876543,0.050955414012738856,0.16888433981576254,392.0
HGST,LGBM,57,0.05,op,0.047,0.31036662452591657,0.004686268052876699,25,82,55,53,924,0.15432098765432098,0.15625,0.05424769703172978,155.0
HGST,LGBM,58,0.001,row,0.069,0.1498103666245259,0.0014918379827821423,21,59,82,30,947,0.12962962962962962,0.19090909090909092,0.030706243602865915,78.0
HGST,LGBM,58,0.005,row,0.021,0.24757690686894226,0.003218892600084678,21,72,69,40,937,0.12962962962962962,0.15789473684210525,0.04094165813715456,134.0
HGST,LGBM,58,0.01,row,0.009000000000000001,0.45659502739148755,0.008807639836289223,17,92,53,60,917,0.10493827160493827,0.10059171597633136,0.06141248720573183,190.0
HGST,LGBM,58,0.01,op,0.526,0.05541508638853772,0.00042376628875194055,14,23,125,12,965,0.08641975308641975,0.2857142857142857,0.012282497441146366,68.0
HGST,LGBM,58,0.02,row,0.005,0.56826801517067,0.019197440843016417,16,109,37,90,887,0.09876543209876543,0.07441860465116279,0.09211873080859775,257.0
HGST,LGBM,58,0.02,op,0.10500000000000001,0.12726506531816267,0.0012114597544338336,19,55,88,21,956,0.11728395061728394,0.2,0.021494370522006142,78.0
HGST,LGBM,58,0.05,row,0.003,0.764433206911083,0.050249047372630196,12,132,18,150,827,0.07407407407407407,0.04081632653061224,0.1535312180143296,392.5
HGST,LGBM,58,0.05,op,0.023,0.21512852928782134,0.002431199134402785,23,69,70,36,941,0.1419753086419753,0.1796875,0.0368474923234391,116.5
HGST,LGBM,59,0.001,row,0.115,0.12873999157184998,0.002025121136566778,9,55,98,34,943,0.05555555555555555,0.09183673469387756,0.03480040941658137,141.5
HGST,LGBM,59,0.005,row,0.028,0.3002528445006321,0.004779602013454391,16,82,64,54,923,0.09876543209876543,0.10526315789473684,0.05527123848515865,159.5
HGST,LGBM,59,0.01,row,0.015,0.44121365360303416,0.00928522369101943,17,99,46,66,911,0.10493827160493827,0.09340659340659341,0.06755373592630501,166.0
HGST,LGBM,59,0.01,op,0.664,0.05773282764433207,0.0005656489626946418,13,24,125,11,966,0.08024691358024691,0.2708333333333333,0.011258955987717503,68.0
HGST,LGBM,59,0.02,row,0.008,0.556047197640118,0.018996848097097428,15,111,36,84,893,0.09259259259259259,0.07142857142857142,0.08597748208802457,250.5
HGST,LGBM,59,0.02,op,0.192,0.08259587020648967,0.0012291480453497671,9,43,110,22,955,0.05555555555555555,0.12162162162162163,0.022517911975435005,141.5
HGST,LGBM,59,0.05,row,0.004,0.7313527180783818,0.0480910758808863,13,132,17,149,828,0.08024691358024691,0.04421768707482993,0.15250767656090072,392.0
HGST,LGBM,59,0.05,op,0.039,0.18605141171512854,0.002971256527261608,11,68,83,48,929,0.06790123456790123,0.08661417322834646,0.04912998976458546,142.0
HGST,LGBM,60,0.001,row,0.232,0.11019806152549515,0.001423342898809804,18,59,85,44,933,0.1111111111111111,0.1487603305785124,0.04503582395087001,134.0
HGST,LGBM,60,0.005,row,0.046,0.2867678044669195,0.004775838547302065,16,88,58,80,897,0.09876543209876543,0.08695652173913043,0.08188331627430911,166.0
HGST,LGBM,60,0.01,row,0.029,0.43994943109987356,0.009924636590299666,18,104,40,103,874,0.1111111111111111,0.08,0.10542476970317298,235.5
