serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
ZCH068TE,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004282480571419001,,2017-11-09,,0.287
ZCH0693B,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0039113592356443405,,2018-01-05,,0.287
ZCH0695G,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.003526510437950492,,2017-11-14,,0.287
ZCH06978,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.06375382095575333,,2018-05-08,,0.287
ZCH06998,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004475272260606289,,2017-10-30,,0.287
ZCH069C5,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007435484789311886,,2017-10-30,,0.287
ZCH069CE,1,0,,2018-10-03,,Missed,0,0,0,0,1,0,0.0037248393055051565,,2017-10-21,,0.287
ZCH069CG,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.00654692342504859,,2017-10-30,,0.287
ZCH06CKC,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004838445223867893,,2017-10-30,,0.287
ZCH06CMY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0017071821494027972,,2017-12-20,,0.287
ZCH06CNJ,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.01284295879304409,,2017-10-30,,0.287
ZCH06CV9,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.08189142495393753,,2017-11-14,,0.287
ZCH06CXP,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0016699614934623241,,2017-12-20,,0.287
ZCH06D22,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.004320134408771992,,2017-10-21,,0.287
ZCH06D48,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0028541595675051212,,2017-11-14,,0.287
ZCH06D4E,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.001631141290999949,,2017-12-20,,0.287
