ds,crit,metric,seed,by_rec,by_prec,rand,best
Seagate,op,precision,50,0.4316546762589928,0.4316546762589928,0.3837793425441867,0.4316546762589928
Seagate,op,precision,51,0.3728813559322034,0.4230769230769231,0.39551905823221206,0.4230769230769231
Seagate,op,precision,52,0.4117647058823529,0.4396551724137931,0.4226763981454651,0.5
Seagate,op,precision,53,0.3583333333333333,0.4152542372881356,0.4088188752529223,0.4351145038167939
Seagate,op,precision,54,0.34,0.34,0.37689885965962766,0.4184397163120567
Seagate,op,precision,55,0.3893129770992366,0.3951612903225806,0.3760924922663266,0.3951612903225806
Seagate,op,precision,56,0.396551724137931,0.396551724137931,0.40655933869516814,0.437956204379562
Seagate,op,precision,57,0.42,0.3879310344827586,0.38244252873563217,0.42
Seagate,op,precision,58,0.4418604651162791,0.512,0.43925789922056785,0.512
Seagate,op,precision,59,0.373015873015873,0.45,0.40947641539746804,0.45
Seagate,op,precision,60,0.4566929133858268,0.384,0.41104404110503134,0.4566929133858268
Seagate,op,precision,61,0.4568965517241379,0.4304635761589404,0.4208090276687372,0.4568965517241379
Seagate,op,precision,62,0.3823529411764705,0.5523809523809524,0.43600337570925807,0.5523809523809524
Seagate,op,precision,63,0.4031007751937984,0.4341085271317829,0.41418954362650806,0.4341085271317829
Seagate,op,precision,64,0.4049586776859504,0.3693693693693693,0.416658934840753,0.4615384615384615
Seagate,op,precision,65,0.4206349206349206,0.4957983193277311,0.42253435297422803,0.4957983193277311
Seagate,op,precision,66,0.4313725490196078,0.4094488188976378,0.4249782114574743,0.465648854961832
Seagate,op,precision,67,0.4553571428571428,0.4553571428571428,0.4234909597258565,0.4553571428571428
Seagate,op,precision,68,0.3873239436619718,0.3684210526315789,0.3605386365848661,0.3888888888888889
Seagate,op,precision,69,0.4090909090909091,0.3471074380165289,0.40536842735656964,0.4492753623188406
Seagate,op,precision,70,0.375,0.4033613445378151,0.385164106626257,0.4033613445378151
Seagate,op,precision,71,0.4210526315789473,0.4296875,0.4151007538560185,0.4732142857142857
Toshiba,row,recall,42,0.1770334928229665,0.2105263157894736,0.1997607655502392,0.2296650717703349
Toshiba,row,recall,43,0.1770334928229665,0.1961722488038277,0.19138755980861238,0.215311004784689
Toshiba,row,recall,44,0.1818181818181818,0.1961722488038277,0.19377990430622005,0.2200956937799043
Toshiba,row,recall,45,0.1722488038277512,0.2248803827751196,0.19377990430622008,0.2248803827751196
Toshiba,row,recall,46,0.1674641148325359,0.1961722488038277,0.1913875598086124,0.2248803827751196
Toshiba,row,recall,47,0.1626794258373205,0.1961722488038277,0.18660287081339708,0.2105263157894736
Toshiba,row,recall,48,0.1770334928229665,0.1961722488038277,0.19138755980861238,0.2105263157894736
Toshiba,row,recall,49,0.2296650717703349,0.1961722488038277,0.19617224880382772,0.2296650717703349
Toshiba,row,recall,50,0.1722488038277512,0.1961722488038277,0.19497607655502391,0.2200956937799043
Toshiba,row,recall,51,0.1722488038277512,0.215311004784689,0.1937799043062201,0.215311004784689
Toshiba,row,recall,52,0.2248803827751196,0.2248803827751196,0.1997607655502392,0.2248803827751196
Toshiba,row,recall,53,0.1674641148325359,0.1961722488038277,0.19377990430622005,0.2296650717703349
Toshiba,row,recall,54,0.1866028708133971,0.1961722488038277,0.19736842105263155,0.2248803827751196
