serial_number,has_failed,alarm_triggered,first_alarm_date,actual_failure_date,days_to_failure_at_alarm,category,is_hit,is_fp_early,is_fp_cens,is_false_alarm,is_miss,is_correct_rejection,max_predicted_score,alarm_predicted_score,first_seen_date,days_since_observed,threshold_used
2AGMVDDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009079495226304448,,2019-05-16,,0.971
2AGMWHVY,1,0,,2024-07-19,,Missed,0,0,0,0,1,0,0.05864786778022513,,2019-05-16,,0.971
2AGMZLMY,1,0,,2023-05-16,,Missed,0,0,0,0,1,0,0.05562363473421281,,2019-08-13,,0.971
2AGN038Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGN03MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.006229987414701406,,2019-08-13,,0.971
2AGN05MY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGN071Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.005231956789920712,,2019-08-13,,0.971
2AGN07AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGN17RY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGN1YNY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGN29AY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGN43EY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.16479298143866658,,2019-08-13,,0.971
2AGN5A3Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-06-01,,0.971
2AGN7GZY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGN7XVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.037881800737251795,,2019-08-14,,0.971
2AGN7XYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.009648937085336325,,2019-05-27,,0.971
2AGN853Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGN8H9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGN8Y9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.007874402340039877,,2019-08-13,,0.971
2AGN8ZGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.05579640552470977,,2019-06-01,,0.971
2AGN90RY,1,0,,2023-12-07,,Missed,0,0,0,0,1,0,0.5527749457305186,,2019-08-14,,0.971
2AGN9N4Y,1,0,,2025-03-06,,Missed,0,0,0,0,1,0,0.6040486941104592,,2019-08-13,,0.971
2AGNAK7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGNAKGY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGNAYKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGNBWPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGND0EY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009426555642883861,,2019-08-13,,0.971
2AGNEAHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGNEK5Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0019217619637610292,,2019-08-14,,0.971
2AGNEN9Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGNEREY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.008353755720115612,,2019-08-13,,0.971
2AGNGZPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
2AGNJE2Y,0,1,2019-06-17,,,Censored Early,0,0,1,1,0,0,0.9999999999960014,0.9999999999960014,2019-06-01,16.0,0.971
2AGNJG7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGNJGHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGNJRYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-06-01,,0.971
2AGNJTAY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGNJTRY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGNKB9Y,1,0,,2023-11-29,,Missed,0,0,0,0,1,0,0.0007692278879770636,,2019-08-13,,0.971
2AGNKGXY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGNKNJY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0011703120385713498,,2019-08-14,,0.971
2AGNKSPY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-14,,0.971
2AGNKV4Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-08-13,,0.971
2AGNL61Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGNNTHY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.010476460495543682,,2019-05-16,,0.971
2AGNT47Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGP393Y,1,1,2019-08-08,2023-04-06,1337.0,Early,0,1,0,1,0,0,0.9999992318448406,0.9999992318448406,2019-06-01,68.0,0.971
2AGP43EY,1,0,,2024-09-01,,Missed,0,0,0,0,1,0,0.010682669824214742,,2019-05-16,,0.971
2AGP5EDY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGP5GBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGP5J1Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0009011082130065763,,2019-05-16,,0.971
2AGP6TYY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGP6UBY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-16,,0.971
2AGP9W7Y,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.06697713261429308,,2019-05-16,,0.971
2AGPHHKY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0008630312031707541,,2019-06-01,,0.971
2AGPHHTY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-06-01,,0.971
2AGPJAVY,0,0,,,,Censored No Alarm,0,0,0,0,0,1,0.0007692278879770636,,2019-05-27,,0.971
