threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.66,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.67,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.68,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.69,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.7,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.71,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.72,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.73,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.74,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.75,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.76,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.77,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.78,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.79,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.8,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.81,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.82,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.83,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.84,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
0.85,0.4107142857142857,0.11004784688995216,0.17358490566037738,0.003218884120171674,0.5227272727272727,54.02272727272727,29.0,63.75289249636359,44,23,21,165,12,3716
