serial_number,hdd,model,threshold,actual_failure_date,first_alarm_date,lead_time_days,alarm_score
AAG6J2KH,HGST_20HUH721212ALN604,GRU,0.16,2023-10-19,2023-04-04,198,0.16344758868217468
AAG6NP0H,HGST_20HUH721212ALN604,GRU,0.16,2024-09-22,2024-02-04,231,0.1863560974597931
AAG6NPRH,HGST_20HUH721212ALN604,GRU,0.16,2026-03-12,2025-12-03,99,0.1657513827085495
AAG6NRBH,HGST_20HUH721212ALN604,GRU,0.16,2024-07-11,2024-04-23,79,0.16181887686252594
AAG6XU7H,HGST_20HUH721212ALN604,GRU,0.16,2020-05-23,2019-07-01,327,0.18002715706825256
AAG74EAH,HGST_20HUH721212ALN604,GRU,0.16,2025-07-27,2023-04-29,820,0.16673938930034637
AAG76HYH,HGST_20HUH721212ALN604,GRU,0.16,2021-09-29,2021-08-30,30,0.2807566523551941
AAG7MULH,HGST_20HUH721212ALN604,GRU,0.16,2026-03-13,2026-02-13,28,0.4905445873737335
AAHLBTZH,HGST_20HUH721212ALN604,GRU,0.16,2025-07-26,2025-06-20,36,0.18333283066749573
AAHLBWGH,HGST_20HUH721212ALN604,GRU,0.16,2025-08-30,2025-08-14,16,0.2103600800037384
AAHLY31H,HGST_20HUH721212ALN604,GRU,0.16,2025-07-25,2024-11-28,239,0.2402660846710205
AAHMR03H,HGST_20HUH721212ALN604,GRU,0.16,2025-11-26,2025-11-13,13,0.16950097680091858
