threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.39,0.3870967741935484,0.07407407407407407,0.1243523316062176,0.006141248720573183,0.48,135.28,37.0,228.33791100034176,25,12,13,137,6,971
0.4,0.3870967741935484,0.07407407407407407,0.1243523316062176,0.006141248720573183,0.48,130.6,37.0,227.48450496682185,25,12,13,137,6,971
0.41,0.3870967741935484,0.07407407407407407,0.1243523316062176,0.006141248720573183,0.48,129.92,37.0,227.46796170010404,25,12,13,137,6,971
0.42,0.4,0.07407407407407407,0.125,0.006141248720573183,0.5,127.45833333333333,31.5,231.87370469838868,24,12,12,138,6,971
0.43,0.3793103448275862,0.06790123456790123,0.11518324607329844,0.006141248720573183,0.4782608695652174,131.43478260869566,37.0,235.60409424488518,23,11,12,139,6,971
0.44,0.41379310344827586,0.07407407407407407,0.1256544502617801,0.006141248720573183,0.5217391304347826,83.47826086956522,26.0,108.0410025085957,23,12,11,139,6,971
0.45,0.4166666666666667,0.06172839506172839,0.10752688172043011,0.006141248720573183,0.5555555555555556,72.83333333333333,18.0,105.96448566487841,18,10,8,144,6,971
0.46,0.4090909090909091,0.05555555555555555,0.09782608695652174,0.00511770726714432,0.5294117647058824,76.11764705882354,19.0,108.14254337947352,17,9,8,145,5,972
0.47,0.4090909090909091,0.05555555555555555,0.09782608695652174,0.00511770726714432,0.5294117647058824,76.11764705882354,19.0,108.14254337947352,17,9,8,145,5,972
0.48,0.38095238095238093,0.04938271604938271,0.08743169398907102,0.00511770726714432,0.5,80.875,28.0,109.73141926996115,16,8,8,146,5,972
0.49,0.38095238095238093,0.04938271604938271,0.08743169398907102,0.00511770726714432,0.5,80.6875,28.0,109.83892681444954,16,8,8,146,5,972
0.5,0.42857142857142855,0.037037037037037035,0.06818181818181818,0.0030706243602865915,0.5454545454545454,78.18181818181819,19.0,103.66450973458755,11,6,5,151,3,974
0.51,0.4166666666666667,0.030864197530864196,0.0574712643678161,0.0030706243602865915,0.5555555555555556,82.66666666666667,19.0,110.79811470518,9,5,4,153,3,974
0.52,0.4166666666666667,0.030864197530864196,0.0574712643678161,0.0030706243602865915,0.5555555555555556,82.66666666666667,19.0,110.79811470518,9,5,4,153,3,974
