threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.18,0.26344086021505375,0.21777777777777776,0.2384428223844282,0.022702407002188184,0.47572815533980584,123.02912621359224,36.0,209.418726562738,103,49,54,122,83,3573
0.19,0.27071823204419887,0.21777777777777776,0.24137931034482757,0.021334792122538294,0.47572815533980584,122.70873786407768,36.0,209.50392776483324,103,49,54,122,78,3578
0.2,0.2774566473988439,0.21333333333333335,0.24120603015075376,0.019967177242888403,0.48,123.21,35.5,212.3909741490914,100,48,52,125,73,3583
0.21,0.281437125748503,0.2088888888888889,0.23979591836734693,0.01887308533916849,0.47959183673469385,125.22448979591837,35.5,214.02043248881373,98,47,51,127,69,3587
0.22,0.2893081761006289,0.20444444444444446,0.23958333333333331,0.018052516411378557,0.4946236559139785,123.63440860215054,33.0,214.16568728848003,93,46,47,132,66,3590
0.23,0.2948717948717949,0.20444444444444446,0.2414698162729659,0.017778993435448576,0.5054945054945055,124.95604395604396,28.0,216.33545949496852,91,46,45,134,65,3591
0.24,0.2925170068027211,0.19111111111111112,0.23118279569892475,0.016411378555798686,0.4942528735632184,124.66666666666667,32.0,218.66626366657567,87,43,44,138,60,3596
0.25,0.302158273381295,0.18666666666666668,0.2307692307692308,0.015043763676148797,0.5,127.67857142857143,30.0,221.69698113771923,84,42,42,141,55,3601
0.26,0.29411764705882354,0.17777777777777778,0.221606648199446,0.015043763676148797,0.49382716049382713,125.35802469135803,32.0,219.91728572138464,81,40,41,144,55,3601
0.27,0.2900763358778626,0.1688888888888889,0.21348314606741572,0.01449671772428884,0.48717948717948717,120.26923076923077,33.0,216.47891311276766,78,38,40,147,53,3603
0.28,0.29365079365079366,0.16444444444444445,0.21082621082621084,0.013676148796498906,0.4868421052631579,122.17105263157895,33.0,218.9195591366294,76,37,39,149,50,3606
0.29,0.3103448275862069,0.16,0.2111436950146628,0.012035010940919038,0.5,122.76388888888889,30.0,223.667690823261,72,36,36,153,44,3612
0.3,0.3119266055045872,0.1511111111111111,0.2035928143712575,0.010940919037199124,0.4927536231884058,119.46376811594203,32.0,220.578855051762,69,34,35,156,40,3616
0.31,0.336734693877551,0.14666666666666667,0.2043343653250774,0.009026258205689279,0.5076923076923077,123.43076923076923,28.0,226.4625606164223,65,33,32,160,33,3623
0.32,0.3448275862068966,0.13333333333333333,0.19230769230769232,0.007932166301969365,0.5172413793103449,128.93103448275863,25.5,236.69971243000506,58,30,28,167,29,3627
0.33,0.3717948717948718,0.1288888888888889,0.19141914191419143,0.007111597374179431,0.5576923076923077,134.67307692307693,22.5,248.8697312276079,52,29,23,173,26,3630
0.34,0.3972602739726027,0.1288888888888889,0.19463087248322147,0.006017505470459519,0.5686274509803921,135.01960784313727,21.0,251.30892559978986,51,29,22,174,22,3634
0.35,0.39705882352941174,0.12,0.18430034129692832,0.005470459518599562,0.5625,138.5625,21.5,257.45168691183596,48,27,21,177,20,3636
0.36,0.41935483870967744,0.11555555555555555,0.18118466898954702,0.005470459518599562,0.6190476190476191,127.4047619047619,21.0,260.38205076056346,42,26,16,183,20,3636
0.37,0.42592592592592593,0.10222222222222223,0.16487455197132617,0.00437636761487965,0.6052631578947368,137.18421052631578,21.0,271.5681416148923,38,23,15,187,16,3640
0.38,0.41304347826086957,0.08444444444444445,0.14022140221402213,0.004102844638949671,0.6129032258064516,156.96774193548387,21.0,295.5133842142177,31,19,12,194,15,3641
