threshold,precision,recall,f1,far,on_time_share,mean_lead_time,median_lead_time,std_lead_time,hits,N_on_time,N_early,N_missed,N_censored_early,N_censored_no_alarm
0.27,0.44,0.13580246913580246,0.20754716981132074,0.009211873080859774,0.5365853658536586,92.1219512195122,28.0,151.27381007862843,41,22,19,121,9,968
0.28,0.4489795918367347,0.13580246913580246,0.20853080568720378,0.009211873080859774,0.55,92.525,28.0,153.16298304420687,40,22,18,122,9,968
0.29,0.4444444444444444,0.12345679012345678,0.19323671497584538,0.007164790174002047,0.5263157894736842,97.23684210526316,28.5,155.65387279583985,38,20,18,124,7,970
0.3,0.4418604651162791,0.11728395061728394,0.18536585365853658,0.006141248720573183,0.5135135135135135,98.45945945945945,29.0,156.48186054871948,37,19,18,125,6,971
0.31,0.4634146341463415,0.11728395061728394,0.18719211822660098,0.006141248720573183,0.5428571428571428,96.51428571428572,28.0,160.12894294082795,35,19,16,127,6,971
0.32,0.47368421052631576,0.1111111111111111,0.18,0.00511770726714432,0.5454545454545454,91.27272727272727,28.0,158.24075878561388,33,18,15,129,5,972
0.33,0.5,0.1111111111111111,0.1818181818181818,0.0040941658137154556,0.5625,92.75,27.5,160.41586579886666,32,18,14,130,4,973
0.34,0.5,0.10493827160493827,0.173469387755102,0.0040941658137154556,0.5666666666666667,91.73333333333333,27.5,163.61212940637648,30,17,13,132,4,973
0.35,0.5,0.10493827160493827,0.173469387755102,0.0040941658137154556,0.5666666666666667,91.7,27.5,163.6286751560781,30,17,13,132,4,973
0.36,0.5,0.09876543209876543,0.16494845360824742,0.0040941658137154556,0.5714285714285714,95.14285714285714,27.0,168.44323212578055,28,16,12,134,4,973
0.37,0.4838709677419355,0.09259259259259259,0.15544041450777202,0.0040941658137154556,0.5555555555555556,90.85185185185185,28.0,162.8679773685613,27,15,12,135,4,973
0.38,0.4838709677419355,0.09259259259259259,0.15544041450777202,0.0040941658137154556,0.5555555555555556,90.81481481481481,28.0,162.8857898076502,27,15,12,135,4,973
0.39,0.4838709677419355,0.09259259259259259,0.15544041450777202,0.0040941658137154556,0.5555555555555556,90.51851851851852,28.0,162.83196755264143,27,15,12,135,4,973
0.4,0.4666666666666667,0.08641975308641975,0.14583333333333331,0.0040941658137154556,0.5384615384615384,91.76923076923077,28.5,163.64955702595992,26,14,12,136,4,973
0.41,0.5,0.09259259259259259,0.15625,0.0040941658137154556,0.5769230769230769,86.15384615384616,22.0,164.2511426743281,26,15,11,136,4,973
0.42,0.5172413793103449,0.09259259259259259,0.15706806282722513,0.0040941658137154556,0.6,87.72,15.0,167.3137220911662,25,15,10,137,4,973
0.43,0.5172413793103449,0.09259259259259259,0.15706806282722513,0.0040941658137154556,0.6,87.4,15.0,167.2602762164406,25,15,10,137,4,973
0.44,0.5357142857142857,0.09259259259259259,0.15789473684210525,0.0030706243602865915,0.6,87.28,15.0,167.2606397213642,25,15,10,137,3,974
0.45,0.5185185185185185,0.08641975308641975,0.1481481481481481,0.0030706243602865915,0.5833333333333334,90.75,21.5,169.7555227378479,24,14,10,138,3,974
0.46,0.56,0.08641975308641975,0.14973262032085563,0.0020470829068577278,0.6086956521739131,88.30434782608695,15.0,173.09997985145657,23,14,9,139,2,975
0.47,0.5833333333333334,0.08641975308641975,0.15053763440860213,0.0020470829068577278,0.6363636363636364,85.72727272727273,13.0,172.1907456646901,22,14,8,140,2,975
0.48,0.5833333333333334,0.08641975308641975,0.15053763440860213,0.0020470829068577278,0.6363636363636364,85.0,12.5,172.02985998736594,22,14,8,140,2,975
0.49,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.0020470829068577278,0.631578947368421,92.78947368421052,11.0,183.3772582316714,19,12,7,143,2,975
0.5,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.0020470829068577278,0.631578947368421,91.21052631578948,11.0,179.83518154347783,19,12,7,143,2,975
0.51,0.5714285714285714,0.07407407407407407,0.13114754098360656,0.0020470829068577278,0.631578947368421,75.94736842105263,11.0,171.66168492713265,19,12,7,143,2,975
0.52,0.6111111111111112,0.06790123456790123,0.12222222222222223,0.0,0.6111111111111112,79.27777777777777,19.0,175.5622097895012,18,11,7,144,0,977
0.53,0.6111111111111112,0.06790123456790123,0.12222222222222223,0.0,0.6111111111111112,78.77777777777777,18.5,175.47825302284784,18,11,7,144,0,977
0.54,0.5882352941176471,0.06172839506172839,0.111731843575419,0.0,0.5882352941176471,82.29411764705883,28.0,179.4320335705982,17,10,7,145,0,977
0.55,0.5625,0.05555555555555555,0.10112359550561797,0.0,0.5625,86.125,22.0,184.04716616943603,16,9,7,146,0,977
0.56,0.6428571428571429,0.05555555555555555,0.10227272727272725,0.0,0.6428571428571429,78.42857142857143,11.0,195.81577139375318,14,9,5,148,0,977
0.57,0.6923076923076923,0.05555555555555555,0.10285714285714284,0.0,0.6923076923076923,80.46153846153847,6.0,202.70008742915476,13,9,4,149,0,977
0.58,0.75,0.05555555555555555,0.10344827586206895,0.0,0.75,86.33333333333333,9.0,209.5504447356027,12,9,3,150,0,977
0.59,0.75,0.05555555555555555,0.10344827586206895,0.0,0.75,56.0,8.5,112.81843820936363,12,9,3,150,0,977
0.6,0.7272727272727273,0.04938271604938271,0.09248554913294796,0.0,0.7272727272727273,52.36363636363637,13.0,91.78163088872981,11,8,3,151,0,977
0.61,0.6666666666666666,0.037037037037037035,0.07017543859649122,0.0,0.6666666666666666,61.888888888888886,19.0,97.76780252146686,9,6,3,153,0,977
0.62,0.6666666666666666,0.037037037037037035,0.07017543859649122,0.0,0.6666666666666666,57.888888888888886,18.0,89.19696612235249,9,6,3,153,0,977
0.63,0.6666666666666666,0.037037037037037035,0.07017543859649122,0.0,0.6666666666666666,56.44444444444444,14.0,89.10806312326761,9,6,3,153,0,977
0.64,0.75,0.037037037037037035,0.07058823529411765,0.0,0.75,53.0,12.0,81.5858443604036,8,6,2,154,0,977
0.65,0.75,0.037037037037037035,0.07058823529411765,0.0,0.75,39.875,12.0,55.606738575464036,8,6,2,154,0,977
0.66,0.75,0.037037037037037035,0.07058823529411765,0.0,0.75,38.625,11.0,54.851931369825074,8,6,2,154,0,977
0.67,0.75,0.037037037037037035,0.07058823529411765,0.0,0.75,36.375,7.5,55.07480708091495,8,6,2,154,0,977
0.68,0.7142857142857143,0.030864197530864196,0.059171597633136085,0.0,0.7142857142857143,25.571428571428573,8.0,32.92787417916899,7,5,2,155,0,977
0.69,0.7142857142857143,0.030864197530864196,0.059171597633136085,0.0,0.7142857142857143,22.857142857142858,7.0,30.14454971551276,7,5,2,155,0,977
0.7,1.0,0.012345679012345678,0.024390243902439022,0.0,1.0,3.0,3.0,0.0,2,2,0,160,0,977
0.71,1.0,0.006172839506172839,0.012269938650306747,0.0,1.0,1.0,1.0,0.0,1,1,0,161,0,977
0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,162,0,977
